ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,best_theme,best_score
DIS,2019,0.028942579719663943,0.03378025208000965,0.04441895316599083,0.04685072667015916,0.032409789852030614,0.031456075537906886,0.12709757835639326,0.13787676549961084,0.046898458476579495,0.08330193661815748,0.0687673898731939,0.04295811527245929,0.05656673120486012,0.055464259943640536,theme_7,0.13787676549961084
GE,2019,9.350407302889249e-308,1.0,2.6247555671824683e-308,2.129674368560553e-308,1.5918119169218235e-308,1.457531938262714e-308,2.4978511449634334e-308,3.6180432589258163e-308,1.792628420783453e-308,1.8515085888138026e-308,1.8595748598744427e-308,1.591870481343167e-308,1.5184770192087174e-308,1.567079615176587e-308,theme_1,1.0
GOOGL,2019,0.02222097887321685,0.02519933717405204,0.03726662816388776,0.04094674711137591,0.03259674822828364,0.03304871285612528,0.08868959183507183,0.058065337221038474,0.047419592397578265,0.11974450957117087,0.08460858261558434,0.048093626212199245,0.08967179558500082,0.07526860830445442,theme_9,0.11974450957117087
GS,2019,0.03187794787311556,0.0435870327703485,0.11478863622013925,0.04508717642682226,0.03255678643718191,0.02809687186452377,0.043313696572906346,0.05271605448023286,0.03484207622514891,0.02853793158689194,0.030448979681301065,0.02947634679526643,0.02319062922739289,0.02586606883454492,theme_2,0.11478863622013925
HD,2019,1.7422636370392507e-308,1.9704291255316254e-308,3.3490058417740456e-308,5.250361596343381e-308,3.2458325910463175e-308,3.183887355706817e-308,7.210640077098258e-308,5.30830085514267e-308,7.346524806599888e-308,1.0478368411192194e-307,1.0,5.726583172562852e-308,6.162625020321477e-308,6.976345232937742e-308,theme_10,1.0
IBM,2019,0.011665398707842663,0.013067318458603103,0.020061692378501684,0.024324172085774105,0.0178718817468361,0.018685725569421174,0.06875290698197904,0.02890376724741391,0.028710012209703584,0.08209407147955018,0.05315636207302129,0.03177610480732853,0.09388956431928516,0.06981010113670841,theme_12,0.09388956431928516
INTU,2019,1.6382345111153335e-308,1.852279723296442e-308,3.325904889967755e-308,4.312746206246538e-308,3.309970337102803e-308,3.3291414585152127e-308,7.134825096909017e-308,4.443658339806881e-308,6.579661824676963e-308,1.2209202444853993e-307,1.0,5.693643187821312e-308,7.553741511308012e-308,8.888541979819877e-308,theme_10,1.0
JNJ,2019,1.408510820983961e-308,1.6473741809014746e-308,3.592625932700799e-308,4.310584937942667e-308,1.0,1.3033781454716632e-307,2.7453233006545026e-308,2.663084471385335e-308,4.840448597100715e-308,2.403566560951953e-308,2.8559208109974967e-308,4.654438746238551e-308,2.430254833566104e-308,2.774490543867313e-308,theme_4,1.0
JPM,2019,2.0702565239932744e-308,2.587566475389838e-308,1.0,4.701263935793798e-308,3.613094762553452e-308,3.0354167555318245e-308,3.912189305693288e-308,4.1098779977686624e-308,3.862291500292956e-308,2.6708394871931636e-308,2.978177758170652e-308,3.157458485869024e-308,2.229203627237553e-308,2.5706818209077894e-308,theme_2,1.0
KO,2019,1.0,9.755060245125667e-308,2.065949348463778e-308,1.808762970402782e-308,1.3950004295657067e-308,1.2882968440088016e-308,2.096674000147966e-308,2.9478168479875794e-308,1.575838929710255e-308,1.666935610174066e-308,1.663290576204014e-308,1.407434613298988e-308,1.384254904350809e-308,1.404792190762166e-308,theme_0,1.0
LIN,2019,1.4531153531591287e-308,1.6790311012344315e-308,3.4954643972274947e-308,7.929980582897021e-308,5.151193079321623e-308,5.83939918467342e-308,4.516089431541754e-308,3.764775335005913e-308,1.1993523669391253e-307,4.187619473215108e-308,5.443515214184966e-308,1.0,4.810534199210392e-308,6.649513792901594e-308,theme_11,1.0
LLY,2019,0.013846899147771038,0.01633742458175762,0.03702895137941718,0.04238917495610936,0.1308575020940891,0.09803402312617776,0.031063515723872993,0.029284458595852526,0.05356930534013658,0.028010596965807242,0.03395867105313793,0.048150110211909965,0.02809390850297573,0.03140751662499095,theme_4,0.1308575020940891
MA,2019,1.0,9.434020965165598e-308,2.1151410408099602e-308,1.8549415334722597e-308,1.4220703206390217e-308,1.303969495686952e-308,2.0691537665838817e-308,2.8252987924090167e-308,1.597355617812716e-308,1.622681627825974e-308,1.649597838852893e-308,1.4185590506326006e-308,1.35237041161958e-308,1.386616261563959e-308,theme_0,1.0
MCD,2019,8.643242479071489e-308,1.0,2.707805951450107e-308,2.207332990944443e-308,1.649506549244288e-308,1.5025714227955647e-308,2.4957646021031744e-308,3.575531957067873e-308,1.8303810831126626e-308,1.8533563258646203e-308,1.8655890205833647e-308,1.625574854816047e-308,1.520817968798708e-308,1.5719366525879545e-308,theme_1,1.0
META,2019,0.0191112659782632,0.022253256518456718,0.041926471218249405,0.04658383758488325,0.04286516162342222,0.04361687213848896,0.07109451933735132,0.051484507262523696,0.058863615776042225,0.07831481801782068,0.08851220154039782,0.0596589565466742,0.07046997741513943,0.07422724298103586,theme_10,0.08851220154039782
MRK,2019,1.350485985829506e-308,1.578702257581714e-308,3.3314985533807e-308,3.711770473642114e-308,1.0,1.5951806102702686e-307,2.5722444533252857e-308,2.469488403108016e-308,4.071599242822037e-308,2.3121725047997086e-308,2.7008066430144606e-308,4.2069306099442176e-308,2.3892383559346673e-308,2.691678738174139e-308,theme_4,1.0
MS,2019,0.022398097369930363,0.025895751570246612,0.04351844162862871,0.06644722055153181,0.03728695689032439,0.03584572185069039,0.11863279331619624,0.08738755012521074,0.07658542625053714,0.08549395104393188,0.14980476993315442,0.06198686066327747,0.059159013515075416,0.06629653225791218,theme_10,0.14980476993315442
MSFT,2019,0.021599584046335853,0.023870015447117105,0.034758045429412805,0.0411169298376885,0.033056012542585896,0.033948771244410716,0.07969166763929282,0.05017238320378534,0.050284552600005056,0.23540967555504172,0.10961592144297189,0.05206443789550027,0.13341970145753937,0.09149110304807206,theme_9,0.23540967555504172
NEE,2019,0.36510894259613796,0.18790204566076826,0.040950347931952645,0.034658528583676414,0.02710822228216758,0.024914604885849012,0.039949266469203076,0.055036688417625365,0.030543216786084824,0.03178508377748937,0.03185697845049711,0.026984569847839528,0.026330735961355597,0.026840623684042688,theme_0,0.36510894259613796
NFLX,2019,3.089207079885267e-308,3.82313272634808e-308,4.0086990167551995e-308,4.026501439559364e-308,2.58173326081248e-308,2.415741249262314e-308,8.996145946561741e-308,1.0,3.611748883448594e-308,4.555552669492629e-308,4.499713055678563e-308,3.177149605055193e-308,3.3117319420149177e-308,3.4268844451463217e-308,theme_7,1.0
NVDA,2019,1.37039926327304e-308,1.5181244553744223e-308,2.2507837733533843e-308,2.838675139287042e-308,2.2596904443665063e-308,2.440859759423247e-308,5.258087548526923e-308,2.89568449704002e-308,3.5336925792411463e-308,8.387658005447717e-308,6.256761824284868e-308,4.3041641644504676e-308,1.0,1.1419354014960334e-307,theme_12,1.0
ORCL,2019,0.022672031073779696,0.02485487435466635,0.032790037119135904,0.03858305323068908,0.02879963751961886,0.028991026775656268,0.0774973613104493,0.054472717954757985,0.04430967131130111,0.1614776135378686,0.08302028083149898,0.04263620980236617,0.0869310669325248,0.06728872916524625,theme_9,0.1614776135378686
PEP,2019,0.2302835659544772,0.19853921618988177,0.03907970578581048,0.033303848693690574,0.025379390209963975,0.023159728509918025,0.038630573425508595,0.05636349931224553,0.028931697405169116,0.029458725614288292,0.03002497991571061,0.02524213814753942,0.02429376633999896,0.024881036306735858,theme_0,0.2302835659544772
PG,2019,1.63257764188227e-308,1.8863090368873666e-308,4.075053433019002e-308,7.094204207963796e-308,5.329150305055755e-308,4.664480070673773e-308,4.826619000861593e-308,4.3631010170949067e-308,1.0,4.386518839827695e-308,6.942317634998254e-308,8.016884513264394e-308,4.0441066522902533e-308,4.818597631720818e-308,theme_8,1.0
PM,2019,0.020180898489287377,0.02394225550885502,0.06389542408245151,0.09140838770118852,0.08687771694615735,0.06724144442469994,0.056938771728689636,0.05348685439826171,0.1816002945076284,0.0468145780053637,0.062273150049154846,0.0880097064419331,0.04309866660044079,0.05044594907632334,theme_8,0.1816002945076284
QCOM,2019,0.3164761992235361,0.18646323007166127,0.038313299932940366,0.03257768774385684,0.02563740493731257,0.023583931880301907,0.036582171034781,0.04928118097073721,0.028279446556261977,0.02893880739821921,0.029104220464619086,0.025293377784205113,0.02435878609776101,0.024926646710434503,theme_0,0.3164761992235361
RTX,2019,1.4983381056314427e-308,1.7150163706993136e-308,3.6806040109503035e-308,6.782264389288861e-308,5.074966895182076e-308,4.993488076429846e-308,4.535090133769471e-308,3.846895451451319e-308,1.0,4.3682374098942296e-308,6.563346033205711e-308,1.1921984857984708e-307,4.448817018991031e-308,5.947123228275309e-308,theme_8,1.0
SPGI,2019,0.01822610831377898,0.022468351631737465,0.09104530877150126,0.04599590500326576,0.03287015163384604,0.029957372740161286,0.05554500696578204,0.04673130387332738,0.04344771441313289,0.035049750589891036,0.040050001356009855,0.03635314510348623,0.02761385310358484,0.033550498572817694,theme_2,0.09104530877150126
TMO,2019,1.360883943610051e-308,1.565441436520746e-308,3.1475996545276144e-308,5.222920210206934e-308,4.735158417864342e-308,5.97556191012039e-308,4.46460707160642e-308,3.3326640325612687e-308,8.849093503687462e-308,4.3014797241939605e-308,5.412203469870369e-308,1.0,5.847685986013655e-308,8.608683280506022e-308,theme_11,1.0
TSLA,2019,1.322296794771177e-308,1.4865584594209715e-308,2.5001312452539825e-308,3.593168902884359e-308,2.764759246404377e-308,3.099833687073334e-308,5.114476594744564e-308,2.964440544456619e-308,5.247304794097888e-308,5.67984563805444e-308,6.593638588446987e-308,7.536251378496373e-308,1.1527063849825644e-307,1.0,theme_13,1.0
TXN,2019,0.010381511042813337,0.011880321400477655,0.02379873640253172,0.03519014654763412,0.027536557244006638,0.03077218363562735,0.04366462241791981,0.027051726988135585,0.06290478736227946,0.040103131439747336,0.055490452695230126,0.09054354568320686,0.057245604401646846,0.10785852147620771,theme_13,0.10785852147620771
UNH,2019,1.268863822819884e-308,1.4754875856215355e-308,3.0048391781260257e-308,3.3714669603070545e-308,1.6197839193603597e-307,1.0,2.424208085405893e-308,2.2915707396643425e-308,3.7381747948567124e-308,2.212489683998218e-308,2.5510379437301884e-308,4.2610036446965654e-308,2.391745054973407e-308,2.719591577407713e-308,theme_5,1.0
V,2019,0.32557123279834155,0.18346132598494017,0.03857509532074119,0.03357643584667217,0.02625364550835456,0.024177638988060572,0.03857119504217181,0.0544650504171648,0.02942539492007435,0.030578750342783966,0.03075436510196728,0.02613785727045669,0.02563682927281851,0.025970672016749588,theme_0,0.32557123279834155
WFC,2019,0.03180320611879342,0.039829725920747926,0.320786671128782,0.07321003775274604,0.06537415902540956,0.05265914524033561,0.054724307744292655,0.05841694750763053,0.05899457136351333,0.03901670095611829,0.04336871064809191,0.04950197361678472,0.03383694480245161,0.03858919544784208,theme_2,0.320786671128782
WMT,2019,0.251323509194196,0.1528969316018132,0.04059403217880511,0.03521128308251956,0.027012386538717695,0.02471802904046678,0.03941591308385944,0.05284713186395218,0.030619888390892712,0.030963846714782025,0.03159546339231614,0.02697773315497893,0.025611668374009862,0.026393578586142708,theme_0,0.251323509194196
XOM,2019,1.855413422956365e-308,2.2262678702799264e-308,5.123167260800337e-308,1.0,4.469640115249757e-308,3.8710889366293727e-308,4.986029873604695e-308,5.273997266873721e-308,6.172079522310612e-308,3.207835427258304e-308,4.139922147649385e-308,5.738135944747073e-308,2.7821071333241673e-308,3.2530767302342276e-308,theme_3,1.0
