ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,theme_21,theme_22,best_theme,best_score
AMP,2021,0.003990777562190519,0.00827722360767499,0.056800362445951304,0.027003712220117517,0.02102237964955423,0.017604531271940334,0.01777783980304201,0.035055943163347994,0.06646188909137364,0.034714219860762376,0.04729701000979696,0.02589000279045889,0.0245512287848948,0.028309467936954557,0.031172216836359228,0.02764808377585413,0.0209983763771785,0.024851840749236753,0.028697921932748924,0.031133140482015185,0.038621398263322226,0.046495155733594015,0.1343584555414452,theme_22,0.1343584555414452
AMT,2021,0.0030114747307503453,0.006253650685135065,0.025404295368178176,0.03540525608522588,0.017133799586628622,0.014213594354000995,0.014305839760266765,0.0545844904283895,0.026883007309870866,0.09993748627040436,0.13320459027489195,0.020376163206646144,0.01982254726357357,0.029661499130641717,0.04286988482336628,0.032253367567532394,0.027380175066657048,0.034247978302395475,0.045185345624391055,0.04098574011431787,0.04342118178571938,0.051458237792432436,0.04840829798639697,theme_10,0.13320459027489195
AMZN,2021,4.410228296473627e-309,8.91909391399152e-309,2.654943452012496e-308,1.0,2.2479183153399717e-308,1.9020217497406406e-308,1.9294466763795033e-308,7.122221390128469e-308,2.8450888650894107e-308,5.060557646062247e-308,5.190391184093733e-308,3.877833127441389e-308,3.764087534216094e-308,6.135977030228216e-308,8.607766478952442e-308,4.795046566894605e-308,5.05899814072898e-308,7.131764735151135e-308,1.0340383181184862e-307,1.292041999785101e-307,5.475268144547507e-308,4.464666210617741e-308,4.897315561510727e-308,theme_3,1.0
ANET,2021,0.00240547828779962,0.004700527401571139,0.014021453518163756,0.025004266173213583,0.010335556942372204,0.00888690723037737,0.008969672729085805,0.04095591422839067,0.019047292749837325,0.058627489069055246,0.02820658153448214,0.013684639212664594,0.01501537281621585,0.024182308291770382,0.037844037291865494,0.03951123238875582,0.02068334874643626,0.025076170744955602,0.027554481234262795,0.02543460149750605,0.1097720659534951,0.3347904877350792,0.04599531216188175,theme_21,0.3347904877350792
AON,2021,0.003968315503629107,0.008125573559134175,0.04243892125271318,0.028377971388667236,0.0195733711819872,0.016496400561479378,0.01671702037366404,0.03864921091390272,0.07456526941717294,0.03859009996798914,0.04703314013897528,0.024729419161606758,0.024410041595395733,0.029715320088760162,0.03356831940113569,0.030491922697604618,0.02212836794115901,0.026369728333031025,0.03043080513379765,0.03250748900158612,0.04508892193946372,0.056231240028004136,0.2695372678242235,theme_22,0.2695372678242235
AOS,2021,4.41243231670261e-309,8.652898573566557e-309,2.3718496427737774e-308,1.5575684738293878e-307,1.9730682059905637e-308,1.671057339602516e-308,1.697399899922587e-308,9.181946776573553e-308,2.809622836426837e-308,5.515284928540362e-308,5.004700285837435e-308,3.4833040454084445e-308,3.842688841988463e-308,1.0008449640939208e-307,1.0,9.0638558303276e-308,7.069661388360839e-308,1.1415888375683357e-307,1.052867457385296e-307,7.221275214003064e-308,1.035020916510177e-307,5.973767656974953e-308,5.032334415270348e-308,theme_14,1.0
APA,2021,1.0,4.58835506467968e-309,4.74671805129879e-309,4.425601494615476e-309,4.90163625404595e-309,4.989928929386823e-309,4.970507694791027e-309,4.45017515345897e-309,4.422363682203823e-309,4.399884880433226e-309,4.57880123787922e-309,4.84392032602689e-309,4.646176477231904e-309,4.579355280121563e-309,4.417970247631353e-309,4.34901537182612e-309,4.455595308903574e-309,4.452108205980834e-309,4.441381912352963e-309,4.40855666290529e-309,4.35426430134341e-309,4.338291245259093e-309,4.453984087931464e-309,theme_0,1.0
APD,2021,4.51118459389668e-309,8.789745331318807e-309,2.501198548776019e-308,9.214490350233013e-308,1.928405119355807e-308,1.6444459896431256e-308,1.6621825021612663e-308,7.090743938022076e-308,2.8636234448789827e-308,4.013462139748336e-308,4.1483843879908117e-308,4.752209458865902e-308,6.694984510849362e-308,1.0,1.2794229702862901e-307,7.10119016267212e-308,4.541460316452256e-308,5.608168469774606e-308,5.833172524230048e-308,5.034803638781028e-308,6.764740605025893e-308,4.697068244508779e-308,4.612963607866027e-308,theme_13,1.0
APH,2021,4.852126215826145e-309,9.81294473512357e-309,2.768766084782024e-308,2.830929377697819e-308,2.13265053178038e-308,1.8534501385193637e-308,1.8833847797359823e-308,2.6300086706325014e-308,2.216356204429378e-308,2.0360134664832913e-308,2.5854859891440576e-308,1.0,6.20350163531756e-308,4.959084407142115e-308,2.709634386400136e-308,2.29271726644619e-308,2.1144703502136086e-308,2.3491056730735773e-308,2.5719283974914143e-308,2.5171846336946577e-308,2.3705862777097776e-308,2.143624024784608e-308,2.585647762394505e-308,theme_11,1.0
APP,2021,0.0025698447869112913,0.005089484676997695,0.01622180373113226,0.028712773568106843,0.01151674718585503,0.009824154270327063,0.009910587560007804,0.05269138851003616,0.02175996008783971,0.04982274126604441,0.03288357949844667,0.015527475832083035,0.016720232006292655,0.026537604602887163,0.03915446474001298,0.03768983438289983,0.02091506476089308,0.026326268280360002,0.03089797480619514,0.03162458962930325,0.09592637156214961,0.21053547367815872,0.06637067515771936,theme_21,0.21053547367815872
