ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,best_theme,best_score
DIS,2019,5.221437195641494e-308,4.28971465787895e-308,4.4178702725813005e-308,1.0,1.0134347870333556e-307,6.630196467105171e-308,3.8135925440883586e-308,3.1335406722744256e-308,2.88127325541622e-308,3.891325627577628e-308,4.2923557727433513e-308,9.793033286319638e-308,7.531193004230002e-308,5.774412097086947e-308,7.965964611834506e-308,7.032902585449651e-308,1.1400260323084284e-307,theme_3,1.0
GE,2019,6.716063656642043e-308,6.402001499807029e-308,3.340452167416329e-308,7.783898949977275e-308,1.3475986412655185e-307,1.0,2.5850223892996906e-308,2.079953424777662e-308,1.9280774943050664e-308,2.414275721571917e-308,2.677036446167361e-308,3.7368265932778456e-308,3.8688999426866803e-308,2.8771591030860667e-308,3.1105539880434504e-308,2.9437324071548135e-308,3.424416605837395e-308,theme_5,1.0
GOOGL,2019,3.1997631005732027e-308,2.771581624470743e-308,3.507039081948452e-308,9.845620498046248e-308,5.243432902853632e-308,3.6926657603436875e-308,3.519158731254502e-308,3.093745052781268e-308,2.866929419982087e-308,4.178950230810025e-308,4.1499132399022416e-308,1.2679347413289137e-307,8.349718081780665e-308,7.225114030815894e-308,1.2350081518949266e-307,1.2980181686374716e-307,1.0,theme_16,1.0
GS,2019,3.119146297429404e-308,2.7526284358730614e-308,1.0,3.7251927262695906e-308,3.8559723783069675e-308,3.7639818951514294e-308,3.665276891265562e-308,3.645625480854953e-308,3.177864443041738e-308,3.2561521792723116e-308,4.830715458314442e-308,4.0445345737322597e-308,3.465792737174923e-308,2.8823188910751087e-308,3.141896786299264e-308,2.75251519944829e-308,3.252302964629705e-308,theme_2,1.0
HD,2019,2.757409602871514e-308,2.5188072499163944e-308,3.4376422458105036e-308,6.370566204675786e-308,5.722162378945116e-308,3.6110103243649584e-308,4.637369679255418e-308,3.4201684056767897e-308,3.044964866912447e-308,4.921522154653833e-308,5.773126251657806e-308,1.088046202408112e-307,1.0,8.291112240191099e-308,1.2243585439657053e-307,8.29727782273706e-308,8.573304355602537e-308,theme_12,1.0
IBM,2019,0.017716059093252925,0.015925798180180223,0.020760927762614793,0.0394476663564353,0.033831702488069985,0.022212101836809033,0.025939603721847376,0.020721735545695445,0.018515283360602732,0.03472205664582195,0.0278192262513109,0.04390614365169765,0.0546770968682742,0.08930583664821014,0.09659813332637229,0.10049335479706618,0.06702858023462592,theme_15,0.10049335479706618
INTU,2019,0.01761349161049095,0.015956044762434608,0.024723880670409003,0.03794562724414596,0.03151370447461807,0.02183507190512758,0.03326298010495861,0.027753330358157684,0.0245326396904294,0.04172239802994746,0.046157508848929794,0.07592166092514091,0.10878146716524101,0.0612044639315003,0.10160049667134653,0.0592002164122044,0.06652176301925845,theme_12,0.10878146716524101
JNJ,2019,1.902533268628421e-308,1.7759950370694474e-308,4.2172469965302195e-308,2.483669486504417e-308,2.5684044501652664e-308,2.266124863327653e-308,7.55212433946221e-308,1.0,1.7833868819130473e-307,5.637741834702975e-308,8.087116152120466e-308,3.4323125694668863e-308,2.974898202724133e-308,3.1175949934879295e-308,2.8076230292732237e-308,2.7287398992087803e-308,2.729272424949905e-308,theme_7,1.0
JPM,2019,2.7572019204981047e-308,2.4522412898984435e-308,1.0,3.2817668403981067e-308,3.413375000818342e-308,3.2732680673706145e-308,3.7946515981706917e-308,3.952712667731419e-308,3.403980112287211e-308,3.3588327542736717e-308,5.21522894172282e-308,3.8193993184567073e-308,3.3263387017220693e-308,2.867737960846254e-308,3.0911480457561e-308,2.7173638388227484e-308,3.1218278537775133e-308,theme_2,1.0
KO,2019,1.0,1.4010908236205712e-307,3.1195008825568624e-308,7.360693243254358e-308,4.799189161294629e-308,6.601840117846302e-308,2.0662289543237417e-308,1.8340700295158157e-308,1.7349395851264627e-308,1.9609821655718677e-308,2.2115403503386776e-308,2.990965009034385e-308,2.7572807363410513e-308,2.248604743474908e-308,2.58150267030047e-308,2.405491089559031e-308,2.969799718969995e-308,theme_0,1.0
LIN,2019,2.1507502335207994e-308,1.9981891763024745e-308,3.727362480131683e-308,3.370282216101135e-308,3.6927145151503206e-308,2.7714267462135905e-308,1.7277630051418359e-307,7.472518110172311e-308,5.765152601573443e-308,1.0,1.0971401798382265e-307,5.032188876494641e-308,5.056916224971663e-308,6.494326691027662e-308,4.303828602868022e-308,4.640314323075539e-308,3.891557164293227e-308,theme_9,1.0
LLY,2019,0.018783907520482177,0.017275518475241634,0.0369240144464592,0.026563571633830146,0.026223717442037504,0.02229747408708971,0.06667826671744972,0.15758851098165869,0.1950870474310696,0.05936766665700875,0.08245560565169609,0.04213046185579646,0.03285125344822269,0.03445151733772219,0.03116018605082822,0.030414214824237496,0.031012592126983023,theme_8,0.1950870474310696
MA,2019,1.0,1.636549592793564e-307,3.043303781498817e-308,6.534413181360559e-308,4.520357558820893e-308,6.088467658561495e-308,2.042984984506044e-308,1.8138585664965874e-308,1.7235676013722054e-308,1.92287727780042e-308,2.178688343412679e-308,2.9030581535562097e-308,2.6773580552296636e-308,2.1604627126077276e-308,2.468738664148248e-308,2.287950281424326e-308,2.819082962842535e-308,theme_0,1.0
MCD,2019,6.343313727123381e-308,5.951116825905724e-308,3.8303254909283485e-308,7.655291636018083e-308,1.4864943661384486e-307,1.0,2.8010232745415e-308,2.2418814237616863e-308,2.0700428327940695e-308,2.5690065976244597e-308,2.890710559450656e-308,3.957778289714502e-308,3.9716000263114973e-308,2.9478269671227156e-308,3.1183222533260154e-308,2.962254975480348e-308,3.4672667857936077e-308,theme_5,1.0
META,2019,3.2406108863038173e-308,2.8184475780490093e-308,4.539442286995665e-308,7.266103714934796e-308,4.977727962839386e-308,3.7896221966812028e-308,4.576521998372173e-308,4.409611566995878e-308,4.092228353290136e-308,5.420575007385091e-308,5.829521242876221e-308,1.0,7.890951657675889e-308,7.038333881274806e-308,9.323574735103079e-308,8.262247184294157e-308,1.4299947212017495e-307,theme_11,1.0
MRK,2019,1.802141207524584e-308,1.6769540773723344e-308,3.517252357989919e-308,2.424664639614624e-308,2.426572697164039e-308,2.114100365764619e-308,6.325653311494014e-308,1.8083731142462556e-307,1.0,5.381957109710064e-308,7.134670330417748e-308,3.5556554125688815e-308,2.9879655596931095e-308,3.10169229572255e-308,2.8283818157736354e-308,2.753427164310063e-308,2.763133162266605e-308,theme_8,1.0
MS,2019,2.9182443615795113e-308,2.6671043280168804e-308,3.670656206837954e-308,6.304926451123749e-308,7.114958776263031e-308,4.1489332732452294e-308,5.028503713901409e-308,3.3864751106166063e-308,2.979161982757458e-308,4.878659890774925e-308,5.918784680348532e-308,9.372706363016573e-308,1.0,7.30846431794048e-308,8.22237452986292e-308,6.683616785189539e-308,6.54965653683181e-308,theme_12,1.0
