ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,best_theme,best_score
DIS,2021,4.604032253097063e-308,3.8194910245120653e-308,4.508171948054721e-308,3.900376296797928e-308,4.279558725088933e-308,4.557031365872537e-308,4.458435371137569e-308,4.589702182047876e-308,1.0338586252316325e-307,5.789535785059082e-308,7.654136215308281e-308,6.241070273187584e-308,6.269269666805509e-308,1.0,theme_13,1.0
GE,2021,3.3274305827992624e-308,1.0,4.752166237245224e-308,3.052372883841183e-308,3.8126055856214857e-308,4.0993466418347045e-308,2.947862316930603e-308,4.264985254972666e-308,3.600422446669616e-308,3.1330858865121464e-308,3.2076125332815387e-308,4.572440957347188e-308,3.933178702490552e-308,3.403421920764524e-308,theme_1,1.0
GOOGL,2021,5.865339827382799e-308,3.291571350537532e-308,3.1460664280557785e-308,2.6830184404839814e-308,2.915606362674328e-308,3.8467183610747327e-308,3.9790690869435926e-308,5.06498973948928e-308,7.460227048773476e-308,1.0,1.1355322723364748e-307,4.233890621448323e-308,3.848367671313582e-308,5.285446062399267e-308,theme_9,1.0
GS,2021,1.0,3.213717950147933e-308,2.9899066109508413e-308,2.6574152823204644e-308,3.015346532107961e-308,3.869980802188187e-308,3.6649038725318563e-308,4.42148505642752e-308,4.1509583489530654e-308,4.686870990763121e-308,4.3153266801747834e-308,3.462163793132671e-308,3.221705000444753e-308,3.800805639873716e-308,theme_0,1.0
HD,2021,0.048931056315280816,0.06130246651491789,0.18634066588811618,0.06794089991863243,0.05281448093734251,0.04952529227665946,0.03772892244988404,0.04256663249069346,0.05984305386233011,0.04917350174859654,0.05705189899865485,0.0927998276597251,0.05746331262891519,0.061062182155539046,theme_2,0.18634066588811618
IBM,2021,6.110863530644212e-308,4.146536404137679e-308,3.319587672173729e-308,3.0446304901252227e-308,4.387115719726719e-308,8.224423606220293e-308,8.94529468089086e-308,1.0,5.830675437759194e-308,6.570299295331463e-308,4.823953443150233e-308,4.206449220598227e-308,5.055813294370572e-308,4.454064549638143e-308,theme_7,1.0
INTU,2021,4.146197722528907e-308,3.1686149463478605e-308,2.7748403556078256e-308,2.638014231647297e-308,3.7199146533805477e-308,5.374670243541059e-308,1.0,7.89808236026184e-308,5.851947493401891e-308,4.0232691644785706e-308,3.5001624602348874e-308,3.256903286400236e-308,4.453048425034758e-308,3.988455906198751e-308,theme_6,1.0
JNJ,2021,2.734294580981265e-308,3.0466944738318557e-308,7.291010083249027e-308,1.0,3.7913989981891117e-308,3.031222108060079e-308,2.5386206841576453e-308,2.480263844993353e-308,3.0650910828945514e-308,2.5293817945850554e-308,2.8077617965256305e-308,3.2421429996178216e-308,2.6658254094720494e-308,3.3207391367810496e-308,theme_3,1.0
JPM,2021,1.0,3.106543166165369e-308,2.860238085097997e-308,2.57622548926598e-308,2.884146098254772e-308,3.971636810921239e-308,3.7405185830968103e-308,4.918750186761382e-308,4.3907471897283785e-308,5.809210887730549e-308,4.790407612094852e-308,3.50134950726881e-308,3.2199761756963236e-308,3.8647202770219585e-308,theme_0,1.0
KO,2021,0.04235242425684453,0.06245924787737695,0.05162098509314713,0.03641061654320117,0.04867482190332091,0.050201556806747136,0.041235989754934504,0.05562347672715049,0.06251514889225461,0.04738430990392391,0.04976676555184516,0.12006303129777908,0.12955784645575874,0.08659992009677876,theme_12,0.12955784645575874
