ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,best_theme,best_score
COST,2019,6.443104097605155e-308,6.392709454830582e-308,1.0,1.0091736962849658e-307,4.092879797482573e-308,4.566387496649463e-308,8.066525290680997e-308,4.870228256208067e-308,3.8337397935116283e-308,3.019200303487711e-308,3.616366372350275e-308,4.451281579449597e-308,2.954460577697696e-308,3.0976528142788015e-308,5.703527900216636e-308,4.488911406261322e-308,theme_2,1.0
CRM,2019,0.046248641393472546,0.038244489482190246,0.061875486199196486,0.04306269772922995,0.03454841884064433,0.03394061546402915,0.05086737867043765,0.033733026309462566,0.029607137182392395,0.025421587218844306,0.029914120956249717,0.0362258714717717,0.024529334579876494,0.02692965676898035,0.22712768981657336,0.17809871361347224,theme_14,0.22712768981657336
CSCO,2019,0.04130436710246531,0.031081815463009286,0.041336222415756664,0.03045798058592623,0.034235758107062884,0.02980658777043333,0.049183089200112017,0.02764680062314414,0.026605519647502608,0.02189166710524034,0.02293376452468519,0.02721687930299324,0.019843549437833178,0.023259042861814384,0.05387483337305647,0.04397017502968275,theme_14,0.05387483337305647
CVX,2019,3.64121618950851e-308,4.046413567472081e-308,3.1381848501728776e-308,4.093954048070771e-308,8.570398816927056e-308,5.182975561318033e-308,3.9119079280495255e-308,5.917694875282081e-308,6.002491183376209e-308,1.147442213682245e-307,5.603475160952839e-308,4.475386987836744e-308,1.2450133737359256e-307,1.0,2.5465166786941007e-308,2.5206936034674376e-308,theme_13,1.0
DIS,2019,5.811357311662086e-308,7.627783287144548e-308,7.555354872281465e-308,1.0,4.241896305788906e-308,4.71503827411458e-308,5.295196603365202e-308,7.049238374221488e-308,4.139760413460003e-308,3.4717976685282575e-308,4.763157444534001e-308,4.504480006368087e-308,3.908604850827684e-308,3.8600520629925177e-308,3.555925267816804e-308,3.4673631189634915e-308,theme_3,1.0
GE,2019,5.317178092111369e-308,6.606368272191303e-308,6.782754081036747e-308,5.618932804670862e-308,5.52779421867287e-308,5.002675728065274e-308,1.0,5.083711979280272e-308,4.458789225377005e-308,3.6608413421581695e-308,4.940666456792859e-308,6.298144254538645e-308,3.6949147886412576e-308,4.3305597308683037e-308,5.552822017499723e-308,4.582099990456169e-308,theme_6,1.0
GOOGL,2019,6.407798165967513e-308,5.420269821701019e-308,1.0,8.738619110588963e-308,4.196877863602396e-308,4.48883421254295e-308,6.890956720022096e-308,4.504343421130687e-308,3.657624918094431e-308,2.907722213895223e-308,3.3308289259714945e-308,3.9090933279640297e-308,2.7790499072448974e-308,3.0185056829624404e-308,6.656756790782549e-308,5.287863215384259e-308,theme_2,1.0
GS,2019,1.0,4.921086476430764e-308,6.313501380509546e-308,6.319858261667005e-308,5.573902525473962e-308,7.107738100500033e-308,5.180633580589441e-308,5.995130734269808e-308,6.12499169564428e-308,4.3929268860371664e-308,3.585970327485474e-308,3.729408653477571e-308,3.485845897782938e-308,3.6618746716093335e-308,4.226658586548127e-308,3.710126498879678e-308,theme_0,1.0
HD,2019,5.012599959512064e-308,1.0,6.547921278220122e-308,8.098004520737068e-308,4.2740755764524745e-308,4.357381236499429e-308,6.438739489385684e-308,6.106076037561333e-308,4.0605267636441666e-308,3.5768759823313643e-308,5.357546057945905e-308,6.775304875604784e-308,4.1443847725349063e-308,4.056871039100524e-308,3.94255515006824e-308,3.7761052590525836e-308,theme_1,1.0
IBM,2019,0.043473374047596894,0.08713817159376491,0.055534168040269116,0.05551607517977134,0.034216426465311166,0.032711369405116576,0.08044856326842063,0.040091050048757404,0.032117173710501774,0.02878364764824877,0.05921089838975374,0.13870814610482138,0.03505154633998918,0.03620645212309754,0.04123336388366482,0.0383361282077873,theme_11,0.13870814610482138
