ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,best_theme,best_score
LH,2023,3.085348956179295e-309,1.4429335508437463e-308,9.601172627696106e-308,1.4037050186446378e-307,5.67662961384261e-308,1.0,1.702196523669332e-307,3.8005136420889243e-308,7.407155059296886e-308,1.009429003197217e-307,8.548134544180388e-308,6.488727182172365e-308,5.814988347311412e-308,7.656494724785086e-308,7.734505123634745e-308,4.642763702777651e-308,4.919227739636038e-308,3.793067726792116e-308,3.410165514647898e-308,3.6260940561524485e-308,theme_5,1.0
LHX,2023,3.06159079218533e-309,1.427218081665235e-308,1.0819234106114343e-307,1.0,6.100856927833386e-308,1.3501232517778354e-307,1.2820192757842233e-307,4.0400367262229676e-308,1.0606874975716727e-307,1.1056334288270868e-307,6.546869931463557e-308,5.364942412173792e-308,7.083177947834598e-308,8.42404791215867e-308,1.0674743753959126e-307,4.525872584977792e-308,4.930249660103582e-308,4.263321507109882e-308,3.515766260404297e-308,3.919542506472217e-308,theme_3,1.0
LII,2023,0.0013068835942774788,0.006719236650347653,0.04008146378336704,0.04589596001401836,0.022080600432801935,0.04893162723563714,0.0324153720809826,0.01745913245297081,0.028747011913110566,0.06696440205592522,0.06454474602349816,0.05207963413775295,0.028965734280330363,0.04106883120679083,0.02320749228513564,0.014557231887418982,0.01579251911873736,0.012774650356204157,0.011506732670522029,0.012227066752081536,theme_9,0.06696440205592522
LIN,2023,0.0022272486681549773,0.014016173684101591,0.0633793723676772,0.047708725051826,0.028676520936765527,0.04102441403336143,0.030793742027734692,0.028200959650426773,0.042380223630268984,0.08994916185966015,0.06774250766206422,0.11564593332822952,0.05566350087637795,0.18163279394648968,0.027357075249764988,0.018317864140932564,0.020070000540489536,0.017028875539796623,0.015314074317517887,0.01627946666196069,theme_13,0.18163279394648968
LITE,2023,3.04149044254314e-309,1.3122042774758945e-308,7.149666950348681e-308,9.518641975434217e-308,5.757632609120521e-308,2.4749576896669036e-307,1.0,3.510704120187888e-308,6.738388302968361e-308,6.71932083553953e-308,6.366229534465923e-308,4.88151104108194e-308,4.821491188101954e-308,5.575348573925863e-308,1.0765311491969459e-307,5.892766599552024e-308,6.164681049484078e-308,4.472130605020838e-308,3.9758980742318214e-308,4.2361267500553117e-308,theme_6,1.0
LLY,2023,0.0019032409656856812,0.006868946365248969,0.02441260777004018,0.028017481299932978,0.025959514607130283,0.029714051699455176,0.037862117968178496,0.015471065069818277,0.022333256579906556,0.020078355134658617,0.017672281949496445,0.015241764907423455,0.01718746392337113,0.017094769752259428,0.05244562283562477,0.08301665260834225,0.062047795381221994,0.2885173823164598,0.06263859085121586,0.09561192618821839,theme_17,0.2885173823164598
LMT,2023,0.0021318575783571343,0.010189190818682395,0.06117224320899492,0.06883130153881298,0.032082757415074756,0.07909579907890374,0.05607098399065261,0.02391686520032752,0.040264850131699635,0.08365836798659033,0.13751739911791358,0.07231588375254813,0.05252308077852196,0.06206403910467079,0.03900710751118846,0.0234060912539803,0.02597671408740716,0.020420233171403516,0.018186313275620335,0.01929475487516964,theme_10,0.13751739911791358
LNT,2023,0.0020508179699959632,0.012036135151963112,0.02644374300702533,0.024742006672522618,0.038755118210384826,0.022417657704773154,0.021538370362189904,0.08565062439736856,0.15233861281296637,0.02634531765437797,0.02449730747976081,0.02215144827199299,0.021899082009645778,0.023270897537722147,0.02025812690888768,0.014093981919763705,0.015657064037879313,0.01354247878019104,0.012057408462622996,0.012932875445919584,theme_8,0.15233861281296637
LOW,2023,0.0015420113712996798,0.005266271044856773,0.015511162279223256,0.017109562681032697,0.01856774568032686,0.018932488761480896,0.024461267230235034,0.011380279563463106,0.014855762213494826,0.013532549327002309,0.01233228905817807,0.01077477306448126,0.011559738568928854,0.011757358632837922,0.029311968586392647,0.1055685399365478,0.036483288857899886,0.06448830799923948,0.21403639805529842,0.12480106334358596,theme_18,0.21403639805529842
LRCX,2023,2.91199697050291e-309,1.011979774573612e-308,3.2825536523652536e-308,3.55266836333711e-308,3.5906969205618774e-308,3.6495222923815934e-308,4.465604961098454e-308,2.234142901083608e-308,2.9500150347025804e-308,2.703820847388251e-308,2.408150681205304e-308,2.1011903197381064e-308,2.3399449128580613e-308,2.307480465792058e-308,5.67919770402305e-308,1.0511444735732667e-307,9.13714049178715e-308,1.0,1.190501337288633e-307,1.917963273174562e-307,theme_17,1.0
LULU,2023,0.0018930171272169098,0.006712307813372167,0.0230990412749459,0.02624166625801622,0.02486858356296421,0.028253074461277065,0.03660544805610836,0.014956497898451335,0.021110683992023135,0.019245497103127663,0.01717229749108277,0.014845948928842586,0.016437260849080492,0.016464014400445245,0.050019873845694736,0.12186532176744214,0.06608638036031612,0.22636537178210422,0.07926850174793987,0.11411813955797719,theme_17,0.22636537178210422
LUV,2023,0.0018871880504959253,0.009236491632150866,0.04716630621909953,0.05532987585249284,0.05452331047233692,0.05532537886051522,0.04852822201857732,0.030553924217590754,0.06491947798502298,0.043640992973946545,0.0474777422719244,0.03229121094801951,0.032250972905574306,0.0356677094341297,0.03860072334548758,0.022254400373747353,0.024846435490154924,0.019501662592154217,0.017265099350796884,0.018625980532816205,theme_8,0.06491947798502298
LVS,2023,0.0015353480007608152,0.008364786400296488,0.05046330825066896,0.03763093849092582,0.03168497792310616,0.03518542830213075,0.028130749515485096,0.027578142484934648,0.04423645062144939,0.0493257541941576,0.062331912354071026,0.038661344004459204,0.04075237208973069,0.04038475460117121,0.0247468666857614,0.015683877969744953,0.01801666929821976,0.014272496556313921,0.012712034325031409,0.01353268571324854,theme_10,0.062331912354071026
LYB,2023,0.8038150858484665,0.005373602219026477,0.004552324693824212,0.0044816062029776685,0.00458985451946266,0.004446294260359863,0.004394398724926497,0.0048038911731615504,0.004701514184707725,0.004536270929488433,0.0045632841681378334,0.004623914720031836,0.004500623281900791,0.004600511552428745,0.004374162678485596,0.004221872181250425,0.004289630973210025,0.004219630489924442,0.004155788179876511,0.00419514129912059,theme_0,0.8038150858484665
LYV,2023,0.0013814577359082842,0.0074461954638554125,0.020849948186908395,0.01972691551681471,0.04014214235289729,0.018452551981103908,0.01821343577444118,0.07395711264845725,0.13124532972534775,0.021318871228206672,0.019965722441651304,0.01686527423130406,0.018004528365925008,0.018083479757857276,0.01747974964891542,0.011945753722219699,0.013374272467807848,0.011372125620983796,0.010137599778398251,0.010851617264860659,theme_8,0.13124532972534775
MA,2023,0.001987057381812336,0.007769832184703226,0.03591030919374068,0.03781523171691196,0.03018574891444746,0.03553263537243487,0.04426081171934277,0.017794521147384695,0.026849865628235922,0.025293784784836217,0.022530912301632774,0.01844451077021486,0.020280519119672467,0.01994627702036261,0.06710326783464236,0.06588759277519443,0.19390574766894125,0.047144839555899105,0.032474884343343446,0.036006894940240175,theme_16,0.19390574766894125
MAA,2023,1.0,3.722327233837903e-309,3.15398058784662e-309,3.105490598848743e-309,3.18095826994092e-309,3.081183658123596e-309,3.04555992307518e-309,3.32888436487808e-309,3.257879456764496e-309,3.143092956638537e-309,3.161384650410447e-309,3.20341630552667e-309,3.11807087581126e-309,3.187332528310413e-309,3.03162359931692e-309,2.92633998538186e-309,2.973106921039924e-309,2.92475986992692e-309,2.880691073800315e-309,2.907883964056593e-309,theme_0,1.0
MAR,2023,0.00143856689601846,0.0074404175627308,0.053028328642821136,0.04265884801795842,0.04012604775998634,0.03714634308348205,0.03189939812665522,0.027994036061047486,0.04992119917768617,0.04965331093979632,0.04627804203825121,0.030169888972311987,0.03477366649561623,0.03392681329563654,0.02848165729423947,0.016920590421610888,0.01998143752715283,0.015448009009653747,0.01345223151119122,0.014492064947821329,theme_2,0.053028328642821136
MAS,2023,0.0017915144935884309,0.010368491118477763,0.04906680560243552,0.03926268669508752,0.02185034003362685,0.03538747903615051,0.02596580303268807,0.020310799870435197,0.029300308993667826,0.11186937086376905,0.06876028369992984,0.13237727545035258,0.05529950719736459,0.3046374807014096,0.022164172890711133,0.01468386730450835,0.0159618605379613,0.013488883849262712,0.012170256406023138,0.012887035558696401,theme_13,0.3046374807014096
MCD,2023,0.0015216039945895165,0.006381333140251017,0.03308106506677537,0.050459486078257246,0.033075527595438185,0.05902028397665938,0.08493043779753649,0.017189550783720305,0.036815520254045726,0.026627996069170018,0.02221865285831014,0.0174802545358075,0.021032925512509286,0.02136473159525629,0.3614828411170327,0.030851382141256378,0.036537221091370406,0.029103043751415186,0.02192455804659744,0.02541064716195912,theme_14,0.3614828411170327
MCHP,2023,0.0011632447846222106,0.005918583133583535,0.027116499985409343,0.026058486805650552,0.03589874989830572,0.023848827870910472,0.022500492435571624,0.024919318141822105,0.06756128978785456,0.028950037223960823,0.022416966465804617,0.017058424419524074,0.021967213101899138,0.022026397037609346,0.020596748099290244,0.012138784623691206,0.013729709633111329,0.01140238696049977,0.009904950320598866,0.010759054046572904,theme_8,0.06756128978785456
MCK,2023,0.0020548447203684334,0.010635170075452326,0.06110401278155194,0.061867062507403925,0.02755398712596278,0.03856508765870757,0.033037738399412986,0.02404113118144247,0.03963511574353247,0.07799617351880055,0.05275164210135572,0.0465101028757352,0.20782633569036302,0.11702636335854492,0.032947936773294655,0.019568593421419523,0.021614888296840717,0.019349000222732473,0.016591999643989733,0.018016661054308956,theme_12,0.20782633569036302
MCO,2023,0.004737003799709965,0.5725913387599572,0.01989439081437441,0.018082029480437207,0.017692397543891493,0.01735807367016186,0.01589306155250107,0.022250021623589838,0.02215228619274107,0.020078230923762486,0.0195634024720278,0.02179965776449499,0.019675216923734428,0.02262532175019204,0.01536622597468168,0.01296473588663735,0.013776919750250655,0.012694628568504805,0.011908826185938682,0.012359164164746798,theme_1,0.5725913387599572
MDLZ,2023,0.0019376748195973413,0.008962871770287501,0.02738793770388955,0.02768039433239145,0.3353254959475474,0.02811325342093339,0.030297937570730012,0.0473539229733109,0.05751311344320199,0.02537016643840413,0.023338184428830216,0.01896230512630461,0.020603600686428393,0.021003365086012724,0.030732290592742417,0.020688942588713947,0.02284700311005811,0.019498150226832853,0.017268362982938122,0.01866646482314811,theme_4,0.3353254959475474
MDT,2023,2.8945154469802e-309,9.908239690025994e-309,3.145326067830994e-308,3.447714383568927e-308,3.3850387774696467e-308,3.5844827081397014e-308,4.393945397862547e-308,2.1415402781486e-308,2.8372987204847047e-308,2.632261076857767e-308,2.365884846386271e-308,2.0745751614226563e-308,2.2914964756255144e-308,2.2717482630176164e-308,5.57967785408205e-308,1.141410569857252e-307,8.628348548834756e-308,1.0,1.4208716452993124e-307,2.167902135488443e-307,theme_17,1.0
MET,2023,3.103968789493867e-309,1.50192149062899e-308,1.0,1.3417669649098946e-307,6.454748968195359e-308,8.536034413830688e-308,7.821592212229781e-308,4.405760214411877e-308,8.076708224474769e-308,1.195170766536558e-307,8.206185681388086e-308,5.862335362875373e-308,7.013630374411242e-308,6.675295727105485e-308,8.847586301534714e-308,4.467746749537589e-308,5.766415112155469e-308,4.1810977971408863e-308,3.416328014464898e-308,3.759238174730772e-308,theme_2,1.0
META,2023,2.884167340416293e-309,9.709910783889215e-309,2.602235967676079e-308,2.863138873013491e-308,3.0945407161837333e-308,3.131562405104808e-308,3.9495106549353353e-308,1.940134326413959e-308,2.503230669264528e-308,2.2871382081869946e-308,2.0817312720516504e-308,1.832318481063359e-308,1.9756838642531315e-308,2.003262699780375e-308,4.640875826750913e-308,1.340765284120663e-307,5.651373591676436e-308,1.1757425473992792e-307,1.0,3.832267271154206e-307,theme_18,1.0
MGM,2023,0.002219173572245827,0.01170016232296972,0.10236438829280116,0.06895147303116703,0.053690913618474584,0.05777289648721337,0.0467006713180489,0.03951775377210423,0.06545352240141836,0.08098355340603722,0.07197317609325166,0.048861444245818154,0.05114218505124175,0.051278913858818526,0.042473228478683574,0.025487959362295528,0.03038817746324235,0.0233324556284528,0.020257676177948068,0.021822589251549673,theme_2,0.10236438829280116
MKC,2023,3.168401902274894e-309,1.8527527191086377e-308,8.423464080231827e-308,6.7858016057519385e-308,3.708519255819962e-308,5.680535084214574e-308,4.2958136384584496e-308,3.4847294758413664e-308,5.122222774883125e-308,1.5176817378268192e-307,9.444743284625821e-308,1.4754485562894257e-307,1.1488747252957444e-307,1.0,3.8837959916519657e-308,2.5487563459550715e-308,2.771711170600646e-308,2.388740414710882e-308,2.1351279277960266e-308,2.272237830243503e-308,theme_13,1.0
MLM,2023,0.001795124245478464,0.00957855551785085,0.06035592267133139,0.06154728225566506,0.0280359596014614,0.061944028855789514,0.03820903988950368,0.02300040160570578,0.03990437589634688,0.23202069307808623,0.08675764400746755,0.07093120935925964,0.04728588570035885,0.07840184154236797,0.02901100247143951,0.01808309448316337,0.019641084865617862,0.016062623223327622,0.014433387302405159,0.015346031163113024,theme_9,0.23202069307808623
MMM,2023,3.31453219675652e-309,1.78129991652756e-308,3.1856405735961715e-308,3.058562950550589e-308,6.286237421095268e-308,2.915377932804658e-308,2.954332535602221e-308,1.0,9.775641695076364e-308,3.205941046104206e-308,3.0272337269496616e-308,2.7200249725848587e-308,2.822725693469162e-308,2.8528717240538514e-308,2.88657992550437e-308,2.134457711440206e-308,2.3299728599432063e-308,2.075288620104207e-308,1.8793643819384934e-308,1.998937868899599e-308,theme_7,1.0
