ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,theme_21,best_theme,best_score
IP,2023,0.0037187890705698617,0.02339347173690788,0.6104115657701551,0.016766823573313504,0.023403862649921277,0.01330658108828345,0.017886793840108498,0.01790403965751882,0.014685188992215657,0.018296292056026744,0.015202205562634843,0.01484413807890436,0.019226933210149514,0.015777640572028583,0.017728006799578703,0.01550146535507157,0.015933701992496697,0.01885387735780856,0.013652746788304554,0.015123585264594659,0.01720991077042403,0.016617838870625096,theme_2,0.6104115657701551
IQV,2023,0.00294802676353206,0.013547795269814526,0.01230308183368893,0.028414090760483648,0.017427586403808162,0.02598623316688826,0.00928565389562846,0.009466168624167597,0.11292215918955777,0.03194333267441609,0.0838326983305009,0.3488828162986797,0.03375562112310624,0.015681235881419696,0.03989056444978205,0.03104889307845191,0.02173952323269879,0.01984166128896144,0.024924712698589965,0.03380314696217616,0.03332391226014033,0.02152767738895224,theme_11,0.3488828162986797
IR,2023,0.005110991948629134,0.023872070637895204,0.025733357174482628,0.01620923844258973,0.023270806487332592,0.014888097826081548,0.2788799899858764,0.2054863454312594,0.015993476627396197,0.017903254056240634,0.017078042988420042,0.015907530212822384,0.020110238969758342,0.018597345412723693,0.017685499810912723,0.014556999481743457,0.017143607760694717,0.019701481514901035,0.01461394402470611,0.015404482806194851,0.017066321974374663,0.01870774415558286,theme_6,0.2788799899858764
IRM,2023,0.0010672926305509737,0.0048500833116966536,0.004323422699430649,0.0177993141328938,0.00818772725770599,0.042657306133749316,0.0032056474049492883,0.003264102701408664,0.00991001544594003,0.014110382760448747,0.010156370047199919,0.011997947726945154,0.014373257901985409,0.008799000288097577,0.016892021141005978,0.016022412334098464,0.017536928671395738,0.012240674293895068,0.05192306151527082,0.03881150892456453,0.013057277427275346,0.009908375828621535,theme_18,0.05192306151527082
ISRG,2023,0.0036870449553248123,0.020137100620573105,0.021261168799796767,0.013124583293658428,0.019235092590071175,0.011908326555387268,0.15211960300055194,0.18161472093914255,0.013053857381538045,0.014786649407430451,0.01403854950819014,0.01298264029885438,0.016849921781290585,0.014718287893071991,0.014561770230007617,0.011704598081903756,0.013758436050136883,0.016009221665840373,0.011653667350683662,0.012426192659027828,0.01390390092917528,0.015206140855950245,theme_7,0.18161472093914255
IT,2023,0.0029342680429673184,0.013924447749156488,0.014620854812482533,0.033766106565529454,0.04578770516011937,0.042224004195918007,0.010571495846196797,0.010748342402137808,0.02498671264127873,0.031268824326045816,0.028456596928977094,0.02899835494473744,0.06080150347524653,0.04825357475314303,0.03531360306457509,0.029629317378529522,0.15051145495244866,0.11177895170230612,0.04671985269125706,0.045079523438426326,0.02988009200718406,0.025880518350490815,theme_16,0.15051145495244866
ITW,2023,0.002772336522573284,0.015889798480893388,0.012819840874369062,0.06208953378235566,0.019156200389672966,0.039141101386912375,0.008895637045530817,0.009076048484716576,0.035722158287306675,0.08159956610379748,0.032923438148437165,0.04242908306322661,0.03851808883510929,0.01680584051905822,0.18352806010424838,0.066582782111746,0.02561276456522092,0.02284667423827367,0.036408343416239906,0.05825967435648761,0.0533572180554709,0.03239164349226883,theme_14,0.18352806010424838
IVZ,2023,4.74888296623922e-309,2.2398793788604047e-308,2.5219592197633954e-308,3.536995054937815e-308,1.023756436662738e-307,3.9651716486347894e-308,1.8270304817344634e-308,1.856249037010892e-308,2.7436097658068035e-308,3.4149295097188034e-308,3.157087457515892e-308,3.08009400231536e-308,6.400544764816671e-308,1.080954715063377e-307,3.7646910920331823e-308,3.118669684242631e-308,1.429795493194514e-307,1.0,4.4403130370420944e-308,4.374975227496375e-308,3.181423172935278e-308,2.9759282662677423e-308,theme_17,1.0
J,2023,0.0033378581581875737,0.017580633006413368,0.018767811594999823,0.011894538073316903,0.016836239335508048,0.010664980390961795,0.15338615750058598,0.10907389409632806,0.011583536617468637,0.013240974761211445,0.012411117979022425,0.011515476296596045,0.014878016609254354,0.012893653058570384,0.01303635663218237,0.010445426580719334,0.012198791164676783,0.014107709182236697,0.010440845474875084,0.01106935724518854,0.012645267627795527,0.014113352564302675,theme_6,0.15338615750058598
JBHT,2023,4.805412067746335e-309,2.561477512145208e-308,2.238576795483326e-308,1.0,3.3979515515836447e-308,6.008769563288378e-308,1.4905717237106233e-308,1.510375855515509e-308,4.208595045783753e-308,8.79196319354841e-308,4.0461557835024745e-308,4.827208220457672e-308,5.131479189409445e-308,2.902923828605119e-308,7.978985151216002e-308,9.718637716492444e-308,4.644939818460087e-308,4.0633207199772727e-308,6.851003440288023e-308,8.385673951642938e-308,6.861032054148908e-308,5.560518270178071e-308,theme_3,1.0
