ticker,year,theme_0,theme_1,theme_2,theme_3,best_theme,best_score
JNJ,2019,0.1762028999985245,0.07352085879543681,0.1356111372042674,0.4481332229648689,theme_3,0.4481332229648689
JPM,2019,0.5741959548655055,0.0986622895298475,0.08696033840504473,0.082182302340267,theme_0,0.5741959548655055
KO,2019,0.10437878343320917,0.5216695452244688,0.09603845978186606,0.06793652371024876,theme_1,0.5216695452244688
LIN,2019,0.138306128281287,0.08307094096289912,0.17534864844165796,0.2961199845520237,theme_3,0.2961199845520237
LLY,2019,0.1523467582105371,0.06551491293140765,0.11316943423493497,0.6422931885715625,theme_3,0.6422931885715625
MA,2019,0.12163076856614573,0.6661900841815248,0.09040217077780202,0.07087971422363357,theme_1,0.6661900841815248
MCD,2019,0.15926061743906716,0.2818431802166256,0.15024226322362605,0.11563593191707253,theme_1,0.2818431802166256
META,2019,0.15455439141445998,0.09921993417537849,0.28950136318604647,0.14618286321998705,theme_2,0.28950136318604647
MRK,2019,1.001939610732418e-308,4.919328398913016e-309,8.828127247382823e-309,1.0,theme_3,1.0
MS,2019,0.13451708823657887,0.11607144824645292,0.30595528542278744,0.15759607485055022,theme_2,0.30595528542278744
MSFT,2019,8.036211402132307e-309,6.616171246428627e-309,1.0,8.36269156763677e-309,theme_2,1.0
NEE,2019,7.72732957116144e-309,1.0,6.22091027766558e-309,4.866776899687064e-309,theme_1,1.0
NFLX,2019,0.12797868079100944,0.22305559061599217,0.12604045185224136,0.08131793091604562,theme_1,0.22305559061599217
NVDA,2019,7.20590377284488e-309,5.989146845718894e-309,1.0,8.7154249895389e-309,theme_2,1.0
ORCL,2019,0.11201151270385579,0.10691261086600995,0.5270768909912368,0.10078142023692568,theme_2,0.5270768909912368
PEP,2019,0.10851825773661951,0.6153781001612794,0.09058511402247751,0.07168045043653894,theme_1,0.6153781001612794
PG,2019,0.20961056453377871,0.10286392606293779,0.2398704174884082,0.2765310939753043,theme_3,0.2765310939753043
PM,2019,0.26054477123339215,0.09004210118948563,0.16371456329525388,0.3145745663422972,theme_3,0.3145745663422972
QCOM,2019,7.45538673453764e-309,1.0,6.2180256725132e-309,4.908077458366996e-309,theme_1,1.0
RTX,2019,0.13552576211573847,0.07878306471851552,0.25935277319950384,0.21918410220411003,theme_2,0.25935277319950384
SPGI,2019,0.35430302503012867,0.07843453826796827,0.11730596628463755,0.0925983240836771,theme_0,0.35430302503012867
TMO,2019,0.10501992767864644,0.06632694008361248,0.17627261697197663,0.2902815677965414,theme_3,0.2902815677965414
TSLA,2019,0.13021381600052567,0.10566088668521724,0.4588692527476727,0.18489958100533643,theme_2,0.4588692527476727
TXN,2019,0.1332244725357625,0.10898889191444439,0.2505562088964289,0.16820040812613085,theme_2,0.2505562088964289
UNH,2019,0.09987262843181499,0.053189791478269376,0.10474658708331619,0.729857477018733,theme_3,0.729857477018733
V,2019,0.08279759053374597,0.5765566179299184,0.07262566355628361,0.056479144226379695,theme_1,0.5765566179299184
WFC,2019,1.0,7.359691422991975e-309,7.542062991078795e-309,8.75255934108712e-309,theme_0,1.0
WMT,2019,0.09865893311490323,0.6755907549251116,0.08075053869702312,0.06168907720408335,theme_1,0.6755907549251116
XOM,2019,0.16031519172513423,0.09029648962452061,0.09909146815696376,0.11922850211529647,theme_0,0.16031519172513423
