ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,best_theme,best_score
HD,2023,0.11172056162249876,0.1274488651209016,0.11559955947268329,0.13579213794164674,0.09204021730390596,0.10901395450287062,0.15925250571611277,theme_6,0.15925250571611277
IBM,2023,0.10618441394782756,0.08314777492079437,0.32138926308988003,0.07914668374078826,0.07884845167773288,0.11453650638873863,0.09513242771485737,theme_2,0.32138926308988003
INTU,2023,0.10130500111707993,0.40218278265523577,0.08818545660977567,0.10881401556772022,0.10812024485630006,0.08471696919494216,0.10667552999894604,theme_1,0.40218278265523577
JNJ,2023,1.9493060518830146e-308,2.5193231663931045e-308,2.0017217972435244e-308,1.439755777909838e-308,1.0,1.5686722717464724e-308,3.6182240776571436e-308,theme_4,1.0
JPM,2023,0.13751397554009676,0.13312050238928824,0.1596181368505623,0.10515027014212672,0.10602272767234054,0.12583133711321456,0.11112857177298979,theme_2,0.1596181368505623
KO,2023,2.284252040347288e-308,2.76504855358862e-308,2.047843457041107e-308,1.0,1.6235058450040357e-308,3.894102423574741e-308,2.061316754065081e-308,theme_3,1.0
LIN,2023,2.2390009964669e-308,1.0,1.74053778004989e-308,1.9208721700870463e-308,2.652763271076839e-308,1.4274038680013727e-308,2.310698036396545e-308,theme_1,1.0
LLY,2023,0.10158052144381324,0.08745271975182606,0.15142067405558415,0.1665369129810442,0.07309152571629804,0.303550659582626,0.1072048713483161,theme_5,0.303550659582626
MA,2023,0.15864916701592213,0.08739377873827257,0.14359972581943464,0.1407504714932001,0.07720020710223745,0.2775070679167466,0.09880733769366376,theme_5,0.2775070679167466
MCD,2023,3.032712712490356e-308,2.125856405702129e-308,1.0,2.2880532914620636e-308,2.278428200164974e-308,2.9492578763402285e-308,3.3135550433385243e-308,theme_2,1.0
META,2023,2.346543438978668e-308,3.3430106307249304e-308,2.0641399179792785e-308,1.0,1.6313619525913224e-308,3.05202320660968e-308,2.002411103058501e-308,theme_3,1.0
MRK,2023,0.10023297324064723,0.09036664529541495,0.10545957629157318,0.06803186469464187,0.36265557621882827,0.08696284481332166,0.15345976313395587,theme_4,0.36265557621882827
MS,2023,1.0,2.1656828704368546e-308,2.625038255112313e-308,2.582722358617057e-308,1.9231426580989805e-308,2.7150501726111016e-308,2.1027439631990636e-308,theme_0,1.0
MSFT,2023,0.1816645995054422,0.0924832641133204,0.12194242667422588,0.17644254077078053,0.07031893102692854,0.18099520811158584,0.08757479199436727,theme_0,0.1816645995054422
NEE,2023,2.5492793936087365e-308,2.1258395808439485e-308,2.4572011839812276e-308,3.4802478081006203e-308,1.7630569993913584e-308,1.0,2.3557363891999097e-308,theme_5,1.0
NFLX,2023,0.11195991595153813,0.19423492859835614,0.09585428717197686,0.17930346812143325,0.08853082325105524,0.11246390735909782,0.12313053118759011,theme_1,0.19423492859835614
NVDA,2023,0.12624858221362378,0.1109953702636663,0.11703184732506938,0.1501339484184472,0.0832551115331575,0.14313687318237203,0.10603519360164285,theme_3,0.1501339484184472
ORCL,2023,2.836524787702755e-308,2.09231558767483e-308,1.0,2.224826302563223e-308,2.296705846233784e-308,3.421561594178521e-308,3.082645845410677e-308,theme_2,1.0
PEP,2023,0.15375193341273558,0.09703598090064668,0.10014260192601365,0.172368454815116,0.07454376402940892,0.22070085921742552,0.09518387836521505,theme_5,0.22070085921742552
PG,2023,1.0,2.2043556257234746e-308,2.409608020307957e-308,2.629362756464069e-308,1.9578844248309876e-308,2.5598409569734824e-308,2.10834374216945e-308,theme_0,1.0
PM,2023,2.3479554242192194e-308,2.323874250873908e-308,2.962712385837655e-308,1.690029051023408e-308,3.886423425644791e-308,1.854537467842048e-308,1.0,theme_6,1.0
QCOM,2023,2.321170617833679e-308,2.362126062917879e-308,2.88015161475767e-308,1.841794080445166e-308,4.385962929108013e-308,2.2244515650231295e-308,1.0,theme_6,1.0
RTX,2023,2.3278429701022045e-308,2.02921097152507e-308,1.0,2.004923543657822e-308,2.3070840997992767e-308,2.603938191867161e-308,3.388484993149532e-308,theme_2,1.0
SPGI,2023,0.11704552497359662,0.3246794627596636,0.10085048717352918,0.11363821392005961,0.13033924576228467,0.0826112564153571,0.13083580899550923,theme_1,0.3246794627596636
TMO,2023,0.12159287668269461,0.10242094682728281,0.16273261279482712,0.1614995257922503,0.07471935644863346,0.15416114743958828,0.10175995015249514,theme_2,0.16273261279482712
TSLA,2023,2.4409679278719997e-308,1.0,1.939157591780986e-308,3.317118988956321e-308,2.145639272866611e-308,1.950068735666163e-308,2.47220280944984e-308,theme_1,1.0
TXN,2023,2.046582763310189e-308,1.0,1.6284404594214154e-308,2.514286813720752e-308,2.119940489748272e-308,1.625889531977092e-308,2.102400718860832e-308,theme_1,1.0
UNH,2023,2.0053243960523207e-308,2.0769133439977754e-308,2.0221748539294683e-308,1.422753905240924e-308,1.0,1.7033267129386327e-308,3.8786698282602737e-308,theme_4,1.0
V,2023,0.1006115312212268,0.098202557760351,0.2713512348502837,0.08123113762118746,0.11531956733592248,0.09019282662261094,0.20298830581135616,theme_2,0.2713512348502837
WFC,2023,0.14237011373908948,0.24687714127608706,0.12629786890277642,0.09687837581583737,0.1260471217510199,0.08210914206120593,0.129167693198313,theme_1,0.24687714127608706
WMT,2023,0.12878797283107168,0.42735907543125073,0.09941292939261796,0.09739663433236553,0.08238158906985348,0.07255500162788259,0.08931498657088247,theme_1,0.42735907543125073
XOM,2023,2.789623476235679e-308,1.0,2.1235316779483797e-308,2.4058976678610297e-308,2.0980890992633903e-308,1.679376871145697e-308,2.157055093946456e-308,theme_1,1.0
