ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,best_theme,best_score
SCHW,2019,0.0035112375514908738,0.3878284758421754,0.0228062007084631,0.03238317443931414,0.02339752283663613,0.023451607938785778,0.021300805050389646,0.018776901139801384,0.026461338368724097,0.03142757794844487,0.02368928160422175,0.018886034549280395,0.01645309247277039,0.013817853344697845,0.012563842929435137,theme_1,0.3878284758421754
SHW,2019,0.002298793713547506,0.021034855172218044,0.052611869570297225,0.05168275427939264,0.05833967338971593,0.024850235598026217,0.030326830752626217,0.0333876557006913,0.0550972182136544,0.06017628089837729,0.10081823050423411,0.037338019532397314,0.030011219143851874,0.020399007472124354,0.017583185361723628,theme_10,0.10081823050423411
SJM,2019,0.0024051192306875995,0.023890300464736964,0.06031842213489754,0.07093817561146434,0.05109756384433262,0.02660671842247415,0.03048765522063817,0.0300590705699453,0.0832464413540912,0.11453595635030807,0.075242824623992,0.031114426950048422,0.02681891638259102,0.018362473408361665,0.01603507137644772,theme_9,0.11453595635030807
SLB,2019,0.0017691615957674592,0.01755658057992778,0.03689439166660196,0.05121753984254296,0.0691205972722418,0.027487189963907917,0.03553446939071316,0.03036611768808565,0.051634598094502486,0.04542939311324704,0.04515090923983799,0.02979851568052029,0.026803207831435454,0.01599546842596163,0.013624668147836368,theme_4,0.0691205972722418
SMCI,2019,0.003282308950552361,0.024569678290054745,0.040286500432627,0.050724165009004576,0.1116951508825187,0.03776524651799449,0.051335811214810935,0.07616706127305502,0.04649501306021141,0.03916334111982443,0.053051990397569956,0.1655729848125666,0.08217397429766768,0.04100260802148408,0.03299339005712044,theme_11,0.1655729848125666
SNA,2019,0.003091794274580732,0.016947593407334777,0.026692255578129674,0.029974117138916147,0.04845783481489272,0.02709513017141603,0.03698264620075213,0.10922378262897528,0.03223196278607979,0.026295722603930965,0.030800607612845185,0.07664404889779963,0.11159231270721136,0.1123071316345867,0.09415709678048487,theme_13,0.1123071316345867
SNPS,2019,0.003028777188651646,0.017700668459782472,0.02610233586253379,0.03170073845468342,0.04560790175007218,0.026745182787573173,0.03643425933435383,0.1341485389931684,0.03164009175458746,0.026388421364068843,0.029766925156440305,0.10106300802378161,0.0970738217899375,0.15699974338863168,0.09441394773132518,theme_13,0.15699974338863168
SO,2019,0.003644051296818903,0.26000769357425313,0.026620648210621316,0.037706034620049254,0.02711938217934082,0.027025077402466766,0.024376480558246236,0.021010925103339552,0.03140417295190837,0.03912155802920947,0.02795440093896931,0.021066789830448816,0.01830483808406619,0.015036687552430261,0.013593443860918358,theme_1,0.26000769357425313
SPG,2019,0.0038467127053564455,0.029343791715055443,0.20477028461878247,0.048716182064819556,0.06114908908424095,0.03609306803864227,0.03927016118178984,0.033710685622681924,0.07257632042490829,0.07074071670949171,0.12305428577768271,0.035353941477410056,0.032476212588447795,0.023284559289747257,0.020826845243849233,theme_2,0.20477028461878247
SPGI,2019,0.0023778199475787973,0.0256021830630996,0.05085363732993544,0.059108604588093576,0.0422362203743941,0.025470850487960998,0.02899182978377926,0.028460242994155706,0.06295786710584243,0.09377995879343018,0.07740950413373568,0.028402265347737723,0.024689491820937416,0.017927360086595446,0.015791165890675363,theme_9,0.09377995879343018
SRE,2019,0.002912953217321275,0.027072748478108654,0.06133693995556509,0.06171153680369747,0.1971228544523577,0.06253843375725693,0.10068540014565482,0.05623910609009862,0.06353965235360708,0.055752443576366176,0.07663560466145018,0.057274866530860336,0.05145060418389469,0.029301167524094587,0.024832214729393415,theme_4,0.1971228544523577
