ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,theme_21,theme_22,theme_23,best_theme,best_score
J,2021,2.854290963709872e-308,1.0,4.863575919399477e-309,4.88666695899797e-309,2.499688461871995e-308,2.396116255428492e-308,3.942825146806421e-308,1.5813093528290338e-307,1.114797712733516e-307,1.0015213740757232e-307,1.9878924930982667e-308,2.220612333091153e-308,2.444387634286979e-308,2.3922598787924867e-308,3.7465888847481033e-308,2.033500662454227e-308,2.612308527329708e-308,3.255854274743778e-308,2.1228917538160424e-308,2.6625013668985046e-308,2.5769458874794184e-308,2.309408934403326e-308,2.134734545573674e-308,2.1617325495845367e-308,theme_1,1.0
JBHT,2021,2.472262507863289e-308,2.5616508158585325e-308,4.89407835497614e-309,4.915677306662234e-309,2.7235153733674146e-308,2.6574399342741155e-308,4.581445548579396e-308,2.0437177246092045e-308,1.9559834759221317e-308,1.921921824984699e-308,3.530652801475925e-308,4.2266297738986783e-308,1.0,5.669024455504826e-308,4.1348928709724437e-308,3.055807345535196e-308,6.994846429645827e-308,7.785477318427038e-308,7.174615355984308e-308,1.1234913140227977e-307,4.4155399623823406e-308,6.250103643755163e-308,6.562134503251382e-308,7.618842152341128e-308,theme_12,1.0
JBL,2021,0.008638401684299055,0.00993236023354252,0.0018266966587660758,0.0018349616210882156,0.008933884619421986,0.008848578513999646,0.017242778540436536,0.007980881414117142,0.0075648078802198655,0.007457422688724129,0.01332869838801795,0.017175828734685896,0.03314858463125227,0.03077308576223038,0.020368009048612735,0.013144356341631719,0.020944045164144175,0.02843218021332655,0.04919618102126324,0.05648374837220726,0.01876072664717313,0.02743317800715071,0.1050367914160906,0.041259869722006515,theme_22,0.1050367914160906
JCI,2021,2.4702944938303734e-308,2.8824920970799765e-308,4.843489363158726e-309,4.866173361150215e-309,2.9273683058185555e-308,2.888272975541048e-308,4.686930641445977e-308,2.2602358015968653e-308,2.151327791879274e-308,2.1043205679419895e-308,4.138026811586831e-308,5.77521235606975e-308,9.844743366822796e-308,6.055315136053659e-308,5.568397059282871e-308,3.346767634429938e-308,6.999095579544568e-308,1.1110715617299829e-307,1.3111146289529322e-307,1.0,4.820270133451779e-308,6.572368287858e-308,1.027760358789729e-307,8.130193167648201e-308,theme_19,1.0
JKHY,2021,0.014028119717211806,0.012608864513924567,0.002553692630810604,0.0025641826650573975,0.012459941227097832,0.012424376725042928,0.025848609317834354,0.01018946877277409,0.00968828782282434,0.009443368236695142,0.015062574971162033,0.017754842356599125,0.03963668117279872,0.04673964695780024,0.019019224240446372,0.022552003253020547,0.02413756365750347,0.028162594927357034,0.03284358271409631,0.04540461767767425,0.03798232191337154,0.09279830629403957,0.06307736913465598,0.3164810007435133,theme_23,0.3164810007435133
JNJ,2021,0.011375473473371455,0.021231744603276873,0.0024945835813474796,0.0025069774306710093,0.012518370119801168,0.011982283901305794,0.020428733836286288,0.015657192373531317,0.014439508779980686,0.014722697440997917,0.012710820806632446,0.01586702319753404,0.0215864836168181,0.01837118222013765,0.3468599914250458,0.011089502010642904,0.020546521239509303,0.034864827724616076,0.020269788711807575,0.02616780510900499,0.014491085739121817,0.015715154539904568,0.019624011298515792,0.016691950907000836,theme_14,0.3468599914250458
JPM,2021,0.07452073543764118,0.013286090929750766,0.0019688419759176143,0.0019763745980201073,0.01191525001313944,0.012011133568835444,0.02190268179672421,0.01078067676779529,0.010460892074137746,0.009643377869130172,0.009022744639703784,0.009284920400726534,0.011210097636765042,0.011653971593007092,0.009565965813696684,0.015990161610556754,0.011858789300135458,0.01235864099448333,0.00897291120272584,0.011877908365327022,0.024688659003551258,0.01550598783609072,0.009588406247707914,0.011861613705320316,theme_0,0.07452073543764118
KDP,2021,0.01640319113763095,0.02045946242068581,0.0031057392456210306,0.0031203205450899664,0.022198903395258807,0.02098288188065912,0.029338243395450582,0.015762534983723674,0.015084294207970824,0.014691823983209444,0.024399664483319143,0.02922832439137027,0.04875661849656101,0.025764504746139782,0.03187050755117855,0.016422046599308352,0.09204340065375133,0.16810149439435096,0.03294250277099152,0.05460328713472151,0.02266661596272891,0.0270860733241198,0.026584393195728553,0.0274831434747741,theme_17,0.16810149439435096
KEY,2021,1.0,2.970637971538602e-308,4.85521618168054e-309,4.87226850397693e-309,2.5863733814403993e-308,2.606721058370302e-308,4.3545582027727064e-308,2.5256136882277837e-308,2.466447271865556e-308,2.2766186314421985e-308,1.998319898010623e-308,2.023870016091193e-308,2.402939397383997e-308,2.558714198928704e-308,2.1142848776578006e-308,3.7526718685605885e-308,2.561023898865302e-308,2.599389572983033e-308,1.9617872882219465e-308,2.4920284001788454e-308,4.922926603475939e-308,3.264506381021498e-308,2.0992091194524887e-308,2.550317258842377e-308,theme_0,1.0
KEYS,2021,0.014270065186088369,0.014826488946193052,0.003051537980443782,0.003064997331098732,0.014281646451880315,0.014298670522929147,0.025501295868691796,0.01208443827487796,0.011492863371372784,0.011298413648220765,0.01958324576589836,0.024517017589302866,0.04591435536380075,0.04776736940810004,0.026444218675790693,0.02165960090507143,0.027717340812891615,0.0350747349551776,0.06828522241743876,0.06484971147905144,0.03158838154536545,0.05100531383933483,0.29894202114572616,0.08405192944295696,theme_22,0.29894202114572616
