ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,theme_21,best_theme,best_score
CPT,2019,4.943609262283105e-309,2.641736246480039e-308,3.110958086492267e-308,2.0451893591843076e-308,1.9076445182863226e-308,1.0,3.8261342614574563e-308,7.480262035239667e-308,3.858507184410376e-308,3.0721136171730513e-308,4.281237000406846e-308,3.0210340277633207e-308,2.664237214552051e-308,2.106542926795043e-308,2.0070866381129427e-308,3.567209099973801e-308,2.3191327939884096e-308,4.1243151955398987e-308,3.449948500680205e-308,2.7208564920520747e-308,2.7507366826404685e-308,2.761938693566425e-308,theme_5,1.0
CRL,2019,0.002271898443345957,0.01779438668570845,0.007364314804565182,0.010918008924868517,0.010253153023919508,0.011220457900156659,0.01035139997084606,0.014141078997543109,0.01910834918763955,0.010147553541664382,0.014887935422380467,0.01610730356218053,0.025190432151601338,0.04990363366661543,0.07481899800002165,0.015395544119050806,0.024007056356842468,0.014961468600621263,0.017475115283519256,0.02999995441377377,0.0325914982544489,0.025804330570943026,theme_14,0.07481899800002165
CRM,2019,4.615088011218756e-309,3.3487869531298617e-308,1.7094745000058805e-308,2.0889238723877185e-308,2.0416284304151323e-308,3.696263040070872e-308,3.2186748113891675e-308,5.128988051923412e-308,7.13532471106324e-308,3.00123227115433e-308,7.290733265023616e-308,5.541689254416549e-308,5.274908996551483e-308,2.80231186828039e-308,2.913456199930263e-308,3.7217872375959054e-308,4.870585752421436e-308,1.1416962021156598e-307,1.0,1.123253171899255e-307,4.802760538498159e-308,4.02267350869772e-308,theme_18,1.0
CRWD,2019,4.59187718518409e-309,3.0595108044826806e-308,1.638575865720923e-308,2.011768981910184e-308,1.9714224067747564e-308,3.4818073505348744e-308,3.1184967429924317e-308,4.617018974425232e-308,6.01529204354038e-308,2.9657587634140665e-308,6.807900739418783e-308,5.11961110234983e-308,4.909175743628387e-308,2.663823459426353e-308,2.78441324502438e-308,3.384532901073692e-308,4.717791997828256e-308,1.0413554052200566e-307,1.0,1.024209409266928e-307,4.423125399820185e-308,3.674426628410792e-308,theme_18,1.0
CSCO,2019,0.00436709701643325,0.016023789699742892,0.5301242945340694,0.014156263035568013,0.013205555704396927,0.027670136219476022,0.018330510132556658,0.02164078595720679,0.017923185611975798,0.015918495967364377,0.01673523510815144,0.014570404635973616,0.014277358741798824,0.013598827879538627,0.01258203475552961,0.02081083863624898,0.012616766031314055,0.015793122814275355,0.014644615790088966,0.01330085501589163,0.015874764311560714,0.016237084293061026,theme_2,0.5301242945340694
CSGP,2019,4.93722343228429e-309,2.6473544933362227e-308,2.8720242369111363e-308,2.028645191538112e-308,1.8943446866183775e-308,1.0,4.607933749755366e-308,1.2710793084550188e-307,3.630153213147098e-308,3.6742247590762407e-308,5.247979367055784e-308,2.9713686656713187e-308,2.6221338319140105e-308,2.0983357773670164e-308,2.0030388195367173e-308,3.235198096348736e-308,2.325528838413996e-308,4.2013272979323897e-308,3.6637489067914474e-308,2.8146858755362103e-308,2.6429937862579284e-308,2.647310463111268e-308,theme_5,1.0
CSX,2019,4.508597679795995e-309,4.319570067238629e-308,1.7316753346049645e-308,3.044840019895839e-308,3.2232069674037283e-308,2.980459679960894e-308,2.502431632845791e-308,3.378949861355247e-308,7.850862430331301e-308,2.181283282818679e-308,3.459658748350517e-308,1.0,9.765290468659752e-308,2.6093037797582463e-308,2.7048048573833427e-308,3.941976938198798e-308,6.033300022262091e-308,4.0749445621924726e-308,4.4090384485702764e-308,4.49603644979993e-308,5.316528307890455e-308,4.0769454156836845e-308,theme_11,1.0
CTAS,2019,0.0009477489688827521,0.012824783140418322,0.005170793147080356,0.006251590756256464,0.005846774871875627,0.009762990891806076,0.007332227976284502,0.013191070634922699,0.02618051239119753,0.006546772179712596,0.01202366455237572,0.014235376773967847,0.0202987694812157,0.011051569130216606,0.01078507701723391,0.014815951979356581,0.013399241063440372,0.012736724171870292,0.014185323556803084,0.016852673191309262,0.02314110468728352,0.02266524352251585,theme_8,0.02618051239119753
CTRA,2019,1.0,4.776671132522913e-309,5.25476432572038e-309,4.71121591385894e-309,4.61769354141709e-309,4.93874689193067e-309,4.852995997574463e-309,4.901819157097e-309,4.697824168260156e-309,4.88413663582891e-309,4.78976465026517e-309,4.510445792601618e-309,4.63714890782802e-309,5.018124249616644e-309,4.90280951784818e-309,4.79725442217299e-309,4.518570170629644e-309,4.649628763072226e-309,4.616983843689674e-309,4.63001418609399e-309,4.778703340580555e-309,4.80517273211622e-309,theme_0,1.0
CTSH,2019,4.75507859365461e-309,3.179123468180552e-308,1.9365774259106053e-308,2.1504571474607473e-308,2.036644508746437e-308,4.96626588198545e-308,4.99182148972238e-308,1.102581148581784e-307,4.821995724547607e-308,6.009518372906425e-308,1.0,3.874903312600379e-308,3.690519143599361e-308,2.6438188961345573e-308,2.620717717894975e-308,3.068210893095994e-308,3.352618381267098e-308,5.855057964010043e-308,8.401704557077598e-308,5.183893276850757e-308,3.453870412897753e-308,3.110407792788359e-308,theme_10,1.0
CTVA,2019,0.0022871464956817538,0.02354715095997046,0.009449292696324676,0.013601586055222067,0.012375152489758607,0.015501337813745183,0.012097829711163981,0.018810378854926042,0.03643393409733149,0.011614468984567805,0.017886449338713577,0.02593863277988814,0.05007510810072516,0.030405941593332642,0.03173784531967385,0.03160219695086852,0.03712046943304629,0.023430078000870012,0.02530970722978293,0.03744634216891957,0.08224448177683216,0.09302633164645989,theme_21,0.09302633164645989
CVNA,2019,0.0022996982138951943,0.02711360822196291,0.00862941402270463,0.015407261995151017,0.01615731238487214,0.015067835344442622,0.013439254899132577,0.018889278215010213,0.05048964183353965,0.012046955768994816,0.020178159984400198,0.07966623816461103,0.42362786878382896,0.01737360131065487,0.018498569745352026,0.022553862887871843,0.04852204609042693,0.024249848848194148,0.029746315401878116,0.037863531967366366,0.04844759321611726,0.02729013674223148,theme_12,0.42362786878382896
CVS,2019,4.99369170390462e-309,3.5898470759890063e-308,1.613838990655272e-308,2.2274656277580643e-308,2.0531857307849015e-308,2.169949399322042e-308,1.936267951875484e-308,2.6016437717973364e-308,3.1873683635092637e-308,1.884527192129358e-308,2.524180342956049e-308,2.656178769462436e-308,3.8773827453949755e-308,1.0,2.0064145119218225e-307,3.084311905644254e-308,3.4794532086183274e-308,2.5140660174787334e-308,2.745023977105266e-308,3.809787500410715e-308,5.64044500267069e-308,5.151612181526076e-308,theme_13,1.0
CVX,2019,4.71761433712087e-309,3.509509321179788e-308,1.6634877632106553e-308,1.0,9.695575175049845e-308,2.044014212295909e-308,1.9245029791462667e-308,2.3023386481744004e-308,2.7469166578423104e-308,1.880330372341209e-308,2.1738821339827563e-308,2.931782018585725e-308,3.028495650709311e-308,2.1811981241739703e-308,2.13835072415099e-308,2.3050248962643917e-308,2.5683142687808463e-308,1.9181063657914907e-308,2.0754114056271376e-308,2.2189610460403853e-308,2.7712053772847467e-308,2.470930857685932e-308,theme_3,1.0
D,2019,0.0022969247903433777,0.01670371758240621,0.007689698728825656,0.060784551531773215,0.7025398535175511,0.009484654363087323,0.009310975588430522,0.010678379463297692,0.013323068807295465,0.008730807185422611,0.010307470833511901,0.015281981245688747,0.01558263212007442,0.010173984805485304,0.010114628226581306,0.010878942610796083,0.012928559188642984,0.009248429809165851,0.010073687121914166,0.010862510400926081,0.013446953249281416,0.011543767901283543,theme_4,0.7025398535175511
DAL,2019,0.0023812164414777023,0.024222160820809895,0.009303837165595888,0.014023756956587806,0.014116042215879485,0.017129313748227952,0.013977066044962575,0.020549373230007887,0.06089863179344002,0.012180924635774507,0.02150095858493431,0.14081915741903847,0.05809495176187648,0.01573081201763347,0.01644617785572674,0.02368591987821689,0.04079035970062573,0.027949642835450962,0.03139968440985005,0.033469901885130375,0.03756642949950788,0.02697151373506872,theme_11,0.14081915741903847
DD,2019,0.0023260325814871623,0.023921641463370894,0.009602920717109206,0.013731460629491677,0.012497603382662566,0.015706699646603237,0.012274128997850114,0.019060057023658226,0.03662644978039723,0.011782725705299056,0.018113170119613796,0.025993654916384553,0.04985914599752923,0.03139043913723156,0.03272653168660779,0.031995350458583476,0.03762666547474144,0.023889806700781585,0.025777959347286272,0.03817069843377525,0.0862834170510335,0.09739479428247985,theme_21,0.09739479428247985
DDOG,2019,0.0028654633195272323,0.020143989732164545,0.010592318539334747,0.012739035114472013,0.01242119491258893,0.023181634642142606,0.020818399801698518,0.03321087852535023,0.03933417681790881,0.019862801265878638,0.05185413198771882,0.031004103282247435,0.030040773370360555,0.01690067116631742,0.017456467928355854,0.022022239713868262,0.027924629093566064,0.0647014062280746,0.4263254546426908,0.0613883119498905,0.027683189495405273,0.023516648506402175,theme_18,0.4263254546426908
DE,2019,4.61740916969706e-309,5.688805755049424e-308,1.7066879076656557e-308,3.0702139837465803e-308,3.07457639528415e-308,2.8036721265181306e-308,2.4372397184731904e-308,3.472405475318375e-308,8.744888806626227e-308,2.2346452636108546e-308,3.561961614419094e-308,8.521825045141508e-308,1.0,4.2178064064883907e-308,4.584406742000074e-308,4.782818185891587e-308,1.2801325315370724e-307,4.28357917912108e-308,5.031429224609327e-308,7.892973508224082e-308,2.0571836614199603e-307,7.281877412264773e-308,theme_12,1.0
DECK,2019,0.003072773329376499,0.028244036868335792,0.013887480967983314,0.01508992850338338,0.014356143951259245,0.020533300740577222,0.014064953116428445,0.022087856300215116,0.062185289318199784,0.012568985560418107,0.019022342234554193,0.025486295900305492,0.031369392067904546,0.020569169730582575,0.019918094037875266,0.2076246227964488,0.022717440658672535,0.025050017508911643,0.022974112697209642,0.023910789869401528,0.059074466107654634,0.06527551546259674,theme_15,0.2076246227964488
DELL,2019,0.0031653706180718565,0.023774170549915194,0.011282169598279195,0.014799985450266591,0.014393385257195565,0.02304559597528665,0.021587808126854874,0.033470082782570965,0.046057572704145046,0.021096698975668217,0.05164517108788529,0.03596943925243302,0.03784312432755242,0.020252462777738144,0.021281468465791722,0.02406237001899449,0.035972788366033896,0.054617874858851306,0.21122420945917927,0.1000733263127386,0.03502452055711095,0.02764211042294235,theme_18,0.21122420945917927
DG,2019,4.792459968914556e-309,3.961484308594724e-308,2.3622900705422394e-308,2.2866167470431907e-308,2.169978310560285e-308,3.423504262436705e-308,2.214989460886656e-308,3.465300024295958e-308,7.809923358282715e-308,1.9623781285259e-308,2.89360538385851e-308,3.628070129723008e-308,4.1007110645566107e-308,2.85487516115187e-308,2.738269870688867e-308,1.0,3.095249764118098e-308,3.7422436508731906e-308,3.351726263713226e-308,3.272155814628262e-308,6.442832958828586e-308,7.179178336628085e-308,theme_15,1.0
