ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,best_theme,best_score
CSCO,2023,5.004933406418995e-308,6.801209542329944e-308,6.01769666369225e-308,6.254543483761789e-308,8.264801015999108e-308,5.579779276367809e-308,5.676224497029192e-308,4.497608478398631e-308,9.509858876345353e-308,8.192192192962656e-308,4.338936203753786e-308,5.73197946646292e-308,1.0,1.1703353424016115e-307,7.692113017770358e-308,5.550028047874651e-308,9.154058723875868e-308,theme_12,1.0
CVX,2023,4.088523670364475e-308,3.579021991043768e-308,9.11906862698697e-308,3.9949687418873553e-308,3.830382080694054e-308,5.312040290073211e-308,6.054172845544125e-308,4.668905707702908e-308,3.821268934271426e-308,4.0757905620460756e-308,1.0,1.4252182716567287e-307,3.5914234381326736e-308,2.989171315091332e-308,2.7324444650279076e-308,4.678049682065702e-308,3.78782380722356e-308,theme_10,1.0
DIS,2023,0.025390908969772745,0.03786353854091991,0.0367994893351467,0.04125020017777731,0.028897597576792357,0.027415170449908793,0.0315223851750612,0.02026738181916879,0.028541220225590514,0.025554760408468703,0.031016234966750465,0.06411615135553984,0.03491015968810525,0.029464486006977087,0.02284087037237533,0.022688665683643125,0.025892765814237103,theme_11,0.06411615135553984
GE,2023,4.846201214669135e-308,7.313065446508101e-308,5.717367626014888e-308,5.295757303304348e-308,9.32638828147957e-308,5.049418439878842e-308,5.326863254200156e-308,5.296136120474192e-308,8.131672159425528e-308,7.213876789268085e-308,4.098356503933652e-308,5.315332531321805e-308,1.0,8.370679413501255e-308,7.219552934332965e-308,6.402560735320188e-308,1.3250802675230853e-307,theme_12,1.0
GOOGL,2023,0.050077784214862406,0.03882344002272769,0.030992388914647537,0.043547756092140566,0.05638488817283032,0.05108645876993021,0.04004490068103363,0.03307345969524828,0.05409321042276198,0.042884002992119405,0.027693808800223478,0.028922501401483607,0.05144925186693505,0.061123998201973166,0.09375488326892721,0.03402975520972819,0.0497340376343591,theme_14,0.09375488326892721
GS,2023,1.0,5.39018214210658e-308,4.810526655186902e-308,4.969602768866533e-308,5.35530321267487e-308,8.082331702804797e-308,5.346229210786299e-308,4.1157829046405215e-308,6.580271548215484e-308,4.1152241105916846e-308,4.64217271408645e-308,4.405329147264335e-308,4.506985560843808e-308,4.577022649493303e-308,4.946146120563054e-308,3.8297854764489783e-308,4.45196007300649e-308,theme_0,1.0
HD,2023,4.87111388585053e-308,5.313401592672672e-308,5.209624405273267e-308,6.512939352839354e-308,1.0,6.7571754584382795e-308,7.934428822681635e-308,4.674527237856498e-308,6.438333213671224e-308,7.691600062537535e-308,4.3301205224698427e-308,4.979827721230591e-308,8.837104892653341e-308,7.661692101637886e-308,6.302824776610988e-308,6.65418958855415e-308,1.205371809477218e-307,theme_4,1.0
IBM,2023,7.36853343586927e-308,5.932234885747372e-308,5.881912428519087e-308,4.3173027245044186e-308,5.289098998903515e-308,5.048181266090561e-308,4.3800809030314214e-308,4.492790184210259e-308,1.0,8.73167092706278e-308,3.9727109391463066e-308,4.684663292743342e-308,7.161202161631192e-308,5.710315483451348e-308,6.877416120873094e-308,4.755682506416545e-308,5.997356139347329e-308,theme_8,1.0
INTU,2023,8.027777800553578e-308,3.893695478222242e-308,4.955847715357257e-308,5.142440910952948e-308,6.261181661414135e-308,1.0,1.2846137791115154e-307,4.461446022193963e-308,4.757186947264374e-308,4.275210239608117e-308,6.886119666556513e-308,5.037092106600316e-308,4.1038322557269877e-308,3.811852242117511e-308,3.9450361543435774e-308,4.4052955747330495e-308,4.628787265537638e-308,theme_5,1.0
JNJ,2023,4.126166722045143e-308,3.526808560579799e-308,5.93406268752124e-308,3.0407853207645376e-308,4.026638049952862e-308,4.3364556546760684e-308,4.083910273589256e-308,1.0,4.435579007924314e-308,5.245260539586214e-308,5.179561301318532e-308,4.379055300340626e-308,4.1388639077328076e-308,3.0588820441943256e-308,3.238718231137043e-308,1.1173991216445636e-307,5.98583449880338e-308,theme_7,1.0
JPM,2023,1.0,6.105138527390006e-308,4.621568888636618e-308,4.304404871934787e-308,4.664622266203679e-308,5.629391768788658e-308,4.345809625980409e-308,4.3701803945131656e-308,7.59257587744241e-308,4.307275207904597e-308,4.001069224962643e-308,4.117705862299693e-308,4.503844539483348e-308,4.627262115131526e-308,5.533727591824487e-308,3.8854139960451513e-308,4.535815077248336e-308,theme_0,1.0
KO,2023,4.740593085450679e-308,4.917685604404424e-308,3.7235139689094386e-308,1.0,7.212834698009354e-308,5.87407322795953e-308,6.014112038097439e-308,2.95136869033174e-308,4.300134972700847e-308,3.84420954102977e-308,3.5772267097545087e-308,4.3705493558482078e-308,5.256685597564866e-308,8.270617359025385e-308,6.173382040055219e-308,3.3594602971045193e-308,4.318056557223426e-308,theme_3,1.0
LIN,2023,4.3652901852849196e-308,3.468708363546363e-308,7.630007738304684e-308,3.891326332292602e-308,4.026002530626761e-308,6.416945725152943e-308,7.240167251377582e-308,4.987294326508832e-308,3.8151976129407866e-308,4.0577541103797035e-308,1.0,9.301675220570139e-308,3.522346822706966e-308,2.9390652337048745e-308,2.760300291308616e-308,4.80452333292185e-308,3.8675439353755147e-308,theme_10,1.0
LLY,2023,4.292686376905857e-308,5.422942183470672e-308,4.2793005809391484e-308,7.282629123213091e-308,7.462474332079408e-308,4.822122269731215e-308,4.806973719092836e-308,3.4042388540897534e-308,7.000413055397505e-308,6.294798978973434e-308,3.3359264904677907e-308,4.24059152358983e-308,1.0808046989390064e-307,1.0,9.726049754278394e-308,4.0769181287881e-308,6.547235914882071e-308,theme_13,1.0
