ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,best_theme,best_score
AVY,2021,2.5776596319528925e-308,3.969354450180023e-308,2.83207324186533e-309,2.836502937741788e-309,6.820193237452175e-308,1.505003177917615e-307,8.964584533338585e-308,1.775595248013671e-307,7.136808681397729e-308,1.0,2.5647983745206883e-307,9.276613885415335e-308,1.0394648279759225e-307,7.018942154828142e-308,5.257442407342582e-308,3.7492472714536997e-308,2.9308027347442373e-308,4.060377288603954e-308,3.3713152583373443e-308,2.6891795122585596e-308,2.7483355042144463e-308,theme_9,1.0
AWK,2021,0.016364849635310968,0.025567639047733813,0.0018342940089523102,0.001837309568777881,0.05976302561975553,0.0832370396558449,0.03911380574517111,0.0848954788003364,0.03492148668881846,0.05752097245155478,0.05273755138130334,0.17942439815860473,0.06936913042231484,0.06277556737745171,0.07241337919029359,0.03831896133034832,0.022113325771000263,0.030389756745575217,0.025252197600470934,0.020500609068521164,0.02095400931730551,theme_11,0.17942439815860473
AXON,2021,1.548275089395981e-308,5.292661597302156e-308,2.855742532577614e-309,2.860472971929815e-309,3.6810752240638117e-308,3.3570005844684954e-308,2.801318990116471e-308,3.710728114510763e-308,2.5929642232626277e-308,3.6073553044869965e-308,3.1930069613740874e-308,4.3795728653157396e-308,5.150334855721438e-308,6.645787236178438e-308,4.560663670541653e-308,2.774177436897012e-308,1.1384818386917913e-307,1.0,1.6106401939084455e-307,7.639132463410293e-308,7.678745275822206e-308,theme_17,1.0
AXP,2021,0.017570631036846515,0.023483779224727074,0.0015852482237267488,0.0015878719920274316,0.04531362793051068,0.07518678179598232,0.05040202388878625,0.06421160092977918,0.05388866004971197,0.17586663828428514,0.08545260160159927,0.042435344566709866,0.04249644042634576,0.036293581557349276,0.0289780276571018,0.021941761492114784,0.016718020265309008,0.02186551575302419,0.01864443782698721,0.015525126659342999,0.01589483812770185,theme_9,0.17586663828428514
AZO,2021,0.45236196496566566,0.016650997474411764,0.0023141925814028443,0.0023182535719779756,0.025402356637346492,0.02315870608426376,0.027401680648321165,0.01923777236074521,0.03313515011718375,0.020746203887446638,0.02473895937224707,0.018266464272555644,0.018624920494595746,0.01789707471635677,0.017802410193798506,0.017625788903891052,0.011440316030762796,0.013083564280129861,0.012041074416775986,0.011092210693283205,0.011275836430730875,theme_0,0.45236196496566566
BA,2021,0.01882566383972648,0.02303890650445607,0.001585176265485022,0.0015878874528279451,0.0478728520861743,0.08462667756685989,0.03934519863313241,0.03968616666102417,0.0784487099591982,0.046906987210461985,0.08195064763771734,0.034454494654854236,0.035653380424132804,0.036021306404823476,0.029091478589760193,0.02038348599454489,0.014414361444856078,0.0183895240733316,0.015804295226123873,0.013549490770270926,0.013933236775876684,theme_5,0.08462667756685989
BAC,2021,2.6175978628543813e-308,3.955615656480325e-308,2.82699674376572e-309,2.831571850876294e-309,6.916495477242388e-308,1.1874778719474849e-307,8.171147345387176e-308,1.8821512592638607e-307,7.20906454267487e-308,1.0,1.4450279799222128e-307,7.915912641231938e-308,7.762120784800762e-308,6.461332989915191e-308,4.906767771430384e-308,3.592368775543043e-308,2.942820164744955e-308,4.0014124732507753e-308,3.3471798614028194e-308,2.7008146538963965e-308,2.7639715201531087e-308,theme_9,1.0
BALL,2021,0.014080253838334986,0.014752245071166658,0.0018919504028061102,0.0018954148253658364,0.03931886688159332,0.021799921736542754,0.01695264740541149,0.023267055441045258,0.017608189477820342,0.020158781744094585,0.01917581862379449,0.031147375232386806,0.02222194014287037,0.024462547207017744,0.05441901726338948,0.42358524138258363,0.014571886775111518,0.016713802281538317,0.014996643325416328,0.014037982996339057,0.014364803438476544,theme_15,0.42358524138258363
BAX,2021,3.1655576756993136e-308,3.185208935684065e-308,2.8294045888722e-309,2.833330734728627e-309,4.683312197998976e-308,7.95165773961633e-308,1.0,7.036216384936333e-308,7.30637674911516e-308,7.418080513471721e-308,1.035116033772491e-307,5.001518928029196e-308,5.8606531418157e-308,4.4103454516030576e-308,3.571516904570707e-308,2.889417380388061e-308,2.2433824501580536e-308,2.8661938111410114e-308,2.506668938221161e-308,2.1018890561319753e-308,2.1417709402814417e-308,theme_6,1.0
BBY,2021,0.014959737669601686,0.022129245490286067,0.0016028575482592766,0.001605406141031668,0.04156050824990027,0.10708407719587476,0.049778997642817666,0.08354326376344821,0.04185048002937673,0.18268546403719224,0.14321062224711234,0.055639343893527704,0.05731877304319483,0.0407704195249005,0.03311075351463136,0.022802760320945595,0.016606305955306353,0.022603940012352688,0.01893244512126436,0.015303115477368963,0.01566925885949366,theme_9,0.18268546403719224
BDX,2021,2.514414843349238e-308,3.806600990096223e-308,2.8293556785759e-309,2.833742618860393e-309,6.348602542942092e-308,1.2433934048885335e-307,8.368883051957563e-308,1.67733470408895e-307,6.821277894479787e-308,1.0,2.114092034069214e-307,8.07431952678686e-308,8.795036785740136e-308,6.342830175036228e-308,5.019832187189891e-308,3.6543768482134124e-308,2.8916251856849784e-308,3.9591294229234315e-308,3.316517038967601e-308,2.651406797555612e-308,2.710948980166426e-308,theme_9,1.0
BEN,2021,0.01083181244649916,0.034103645042107396,0.0017221385930662342,0.0017250730665380892,0.032975948355431786,0.029142699844247184,0.021807620207124442,0.03072924291680907,0.020845351605941528,0.028779726865364723,0.026072352767356873,0.04267598947949643,0.042303833476550166,0.06511560683185624,0.04602855315036546,0.023593469596983562,0.05617355445676411,0.09134286183333393,0.06312517831489946,0.04549870762216003,0.047745648625320505,theme_17,0.09134286183333393
BF-B,2021,0.009696668025506077,0.04046918366309361,0.0017127681539977511,0.0017159120408559991,0.02341790563357918,0.02069449846822222,0.01685973594828996,0.02063464882991772,0.01692265025942843,0.020381210814465898,0.01918040662086798,0.025172906613708905,0.02937722127928746,0.04025593941256791,0.02942288477281268,0.017294593179262734,0.08783068628646254,0.07599713550068017,0.11487095852543061,0.0614920873532374,0.0628526713861334,theme_18,0.11487095852543061
BIIB,2021,1.43179925301376e-308,4.827384826471298e-308,2.881788157669707e-309,2.88691471996722e-309,3.025292771920484e-308,2.795200642492152e-308,2.3722426626754157e-308,2.8577337689907423e-308,2.345420448648875e-308,2.8210930204610453e-308,2.6499628541863527e-308,3.3661682544688673e-308,3.759642868379571e-308,4.717821335311299e-308,3.7197706994557114e-308,2.418987197715104e-308,3.170991168625691e-307,1.2169815257884993e-307,1.0,1.3641602373056187e-307,1.2902794913195482e-307,theme_18,1.0
