ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,theme_21,theme_22,best_theme,best_score
CPB,2023,4.09468610138021e-309,1.9795806849518045e-308,2.0108590972455946e-308,2.4902807677534606e-308,2.7384175347252153e-308,2.228670456616939e-308,4.040783796886694e-308,1.5920689408698114e-308,1.5335724206409566e-308,6.829772293169802e-308,4.0383155692133686e-308,4.9690733386646205e-308,4.3835023567981117e-308,5.110367688356225e-308,5.226192536122271e-308,8.277901855973756e-308,5.666233532025439e-308,3.2625340048970505e-308,2.708537819570476e-308,4.423275135766813e-308,4.080078480931965e-308,1.0,8.454829722309636e-308,theme_21,1.0
CPRT,2023,0.0028706374149861423,0.7038916997551279,0.012355317554007952,0.016308141942512674,0.02007227503043958,0.02067597723021598,0.012907813080731308,0.01064897294534867,0.010262295271062415,0.011774862217439376,0.012405443384828147,0.012658467469425411,0.012469743177921077,0.011433833308414933,0.012386839309092033,0.01314847810613103,0.01077668209018378,0.013759737894233754,0.011898915795929665,0.010784423177724161,0.01264040477929621,0.011609140238676954,0.01112672231789627,theme_1,0.7038916997551279
CPT,2023,0.0022255807687047674,0.011485160595461619,0.014535401504962131,0.01985598868769517,0.014445933051597509,0.011735162993144562,0.15550416122269384,0.010863597890611256,0.010406533242756175,0.021102834673110565,0.018221436997789206,0.019803194866615487,0.017641937714294932,0.01734383377461924,0.023356367075426647,0.02872510185225646,0.030969758909143396,0.022824616135080193,0.016237438823690796,0.02232542726098631,0.024259805745332035,0.027764955087635816,0.025609732224357043,theme_6,0.15550416122269384
CRH,2023,0.002498564420642187,0.013682018916756612,0.012273897793993451,0.01744691272204294,0.0214170943147257,0.01706009868251488,0.025777295300857303,0.009697991579822145,0.009314301952142702,0.05858352872528904,0.025319746461390614,0.0329078495285882,0.029131966074040946,0.056220194585539694,0.07196466562753497,0.185289551237192,0.04608117191187642,0.025863020163632927,0.020723071783468976,0.040254766781593905,0.03440280808896415,0.06306890402786415,0.03657219942538811,theme_15,0.185289551237192
CRL,2023,0.0020206359012789697,0.011243653758109443,0.010519907990599799,0.013664949648579472,0.014955785855403084,0.011977710344126185,0.01888080860044904,0.008170511913979875,0.00785136312871508,0.02047097640266755,0.05779664131396275,0.12455234558301133,0.0919337115728427,0.022599516496165477,0.02438729894830054,0.03380518118519413,0.01877977831724655,0.016492197270671565,0.01393888809093215,0.017622621189171756,0.018152301069980625,0.02743354773374699,0.01828586885071134,theme_11,0.12455234558301133
CRM,2023,0.0017304319953726222,0.007822567899584755,0.0074013768676192545,0.012718618453113404,0.01001606100649384,0.008791443232741277,0.016712890977883713,0.006117402664141674,0.0059136112428538855,0.028033620932098376,0.011086096164660367,0.01272562906191095,0.011374323474744354,0.02033661603358356,0.055433140567491095,0.029097724137189276,0.04540727954073867,0.021019017527722013,0.016730248355295116,0.43289019428803255,0.041440572487129165,0.020033714649258415,0.015580891158465402,theme_19,0.43289019428803255
CRWD,2023,4.07328336956613e-309,1.7584787735298974e-308,1.6982178205673157e-308,2.77168748156192e-308,2.256338743395292e-308,2.000678052975876e-308,3.683527208020555e-308,1.41164923706808e-308,1.3709292227021815e-308,5.42875704267326e-308,2.51853271779123e-308,2.897816292850041e-308,2.6129008231070053e-308,4.705289511007797e-308,1.1678184335190838e-307,6.084111474990151e-308,9.29616123858343e-308,4.4043345167647716e-308,3.6549840544265394e-308,1.0,7.420469853984349e-308,4.2247123885924423e-308,3.3513553159922584e-308,theme_19,1.0
CSCO,2023,0.002768241206305832,0.011600190881141812,0.05403228584898758,0.011565318401405539,0.013001893215372724,0.011641163162367891,0.014187603624784023,0.15004540798891208,0.2912291376469948,0.009447034355648334,0.010635300542191126,0.010534090266240703,0.01041468646025878,0.009152133538732071,0.009746994734838003,0.010597064632729577,0.010258773073846152,0.010485480412343979,0.009076300293630253,0.009181618976723177,0.009825643761140222,0.010269309296169152,0.011215244101742756,theme_8,0.2912291376469948
CSGP,2023,4.22407767532735e-309,2.2174743352868443e-308,2.869827021762917e-308,4.239757321855643e-308,2.6594604861460315e-308,2.188674346535503e-308,1.0,2.1400052923163447e-308,2.0433340584313236e-308,3.49478681500984e-308,3.1706451659246914e-308,3.3904488282597357e-308,3.035989719232053e-308,2.9680054041980374e-308,4.0494036570428974e-308,4.5729115633732e-308,5.033020804111675e-308,4.698583429343884e-308,3.199520334439635e-308,3.930816894035876e-308,4.544879940725427e-308,4.1903510646621237e-308,3.99144094963103e-308,theme_6,1.0
CSX,2023,4.10112661917943e-309,1.9745591941167433e-308,1.7964689934673435e-308,2.5815266157066975e-308,2.826238173072077e-308,2.3838580611054903e-308,3.47923040432676e-308,1.472186762439506e-308,1.416158963897288e-308,1.0,3.0209485504005128e-308,3.6680909230641134e-308,3.274012377013619e-308,7.410471581148954e-308,7.275886400007983e-308,8.355689460811306e-308,5.833034619176324e-308,3.3561821817832007e-308,2.814102926174196e-308,5.799918090201997e-308,4.762892896269666e-308,7.35579713849233e-308,4.626584991828043e-308,theme_9,1.0
