method,year,theme_id,n_members,avg_affinity,members
sbert,2021,0,29,0.545,"AEE, ALL, AMGN, APH, AZO, BMY, CCL, CI, CPRT, DGX, EOG, EXC, FE, GS, IP, JPM, MCO, MSI, NDSN, NEM, NKE, ON, PFE, SCHW, SO, UPS, WEC, WMB, ZTS"
sbert,2021,10,20,0.508,"ADM, CASY, CL, CTAS, GIS, HRL, HUBB, IFF, KMB, MKC, MNST, POOL, ROL, ROST, SJM, TGT, TJX, TSN, WSM, YUM"
sbert,2021,8,30,0.403,"ADP, BA, CARR, CHRW, CMI, CSX, CTSH, CVX, EFX, EMR, EQIX, ETN, FIS, GD, GLW, ICE, INTU, LII, LIN, LMT, MAS, PNR, STX, SWKS, TRMB, TXN, TYL, VMC, VRSK, XYL"
sbert,2021,15,31,0.385,"AES, ARE, ATO, BALL, CFG, CMG, COF, F, FITB, GL, GM, HBAN, HD, IEX, KHC, MMM, MTB, MU, NOC, NRG, NTRS, OKE, PCG, PEG, PG, PNC, RF, STT, TAP, TFC, ZBRA"
sbert,2023,2,9,1.0,"AME, BAC, BDX, BK, KEY, MET, NUE, WAB, WFC"
sbert,2023,5,8,1.0,"CDNS, DELL, ETR, FANG, LH, MRNA, QCOM, SBAC"
sbert,2023,8,11,1.0,"ATO, CFG, CNP, CSGP, HBAN, HD, IVZ, NTRS, OKE, TAP, VTRS"
sbert,2023,17,8,1.0,"AMD, BG, DLTR, EXPD, IBKR, LRCX, MDT, NTAP"
sbert,2023,11,10,0.871,"CARR, COHR, EMR, EQIX, GLW, ICE, INTU, SPGI, SWKS, TXN"
sbert,2023,13,10,0.867,"ABT, ADM, GIS, HRL, IFF, MAS, MKC, MRK, TSCO, TSN"
sbert,2023,19,10,0.867,"APP, CIEN, DASH, DE, EME, FISV, GNRC, MTD, PLTR, XYZ"
sbert,2023,3,12,0.862,"AOS, ECL, EPAM, GEN, IBM, LHX, PYPL, RTX, SATS, V, VLTO, WST"
sbert,2023,0,26,0.808,"AMAT, APA, C, CAH, CHD, COP, CTRA, DTE, DVN, ED, EIX, FCX, GWW, HON, KMI, LYB, MAA, MS, O, OXY, PHM, PSX, REG, VLO, WAT, WY"
sbert,2023,18,12,0.795,"AIZ, CRL, D, EA, FDS, FDX, FIX, GEHC, KO, META, TER, USB"
sbert,2023,6,12,0.729,"ADSK, AMZN, AVGO, CHTR, CME, DDOG, FAST, FTNT, GDDY, LITE, PANW, TDY"
sbert,2023,15,18,0.728,"ALLE, APD, BR, BRO, CCI, CNC, CRM, FFIV, ISRG, LDOS, NEE, NOW, NXPI, ORLY, SNA, TT, URI, WM"
sbert,2023,12,13,0.722,"BAX, BSX, COR, CVS, HCA, HSIC, IQV, JNJ, PODD, RVTY, SYK, UNH, ZBH"
sbert,2023,14,13,0.704,"APO, BLDR, BX, CRWD, CSCO, CVNA, DD, DXCM, EW, INTC, MCD, MPWR, ORCL"
sbert,2023,1,30,0.668,"AEE, ALL, AMGN, APH, AZO, BMY, CI, COF, CPRT, DGX, EOG, F, FE, GS, IP, JPM, KVUE, MCO, MSI, NDSN, NEM, NKE, ON, PFE, SCHW, SO, UPS, WEC, WMB, ZTS"
sbert,2023,9,15,0.62,"ALB, BBY, CTAS, DHI, GILD, GPC, MLM, MO, POOL, ROL, ROST, SJM, TGT, TJX, WSM"
sbert,2023,10,15,0.614,"ADP, CBRE, CHRW, CTSH, FOX, FOXA, GD, HII, LMT, NWS, NWSA, STX, TRMB, TROW, TYL"
sbert,2023,7,21,0.562,"AEP, AES, BALL, CEG, CMG, FITB, GL, GM, IEX, KHC, LNT, MMM, MTB, PCG, PEG, PG, PNC, STT, TFC, XEL, ZBRA"
sbert,2023,16,21,0.515,"AAPL, ABNB, AFL, AVB, AVY, AXON, CDW, COST, CRH, EXPE, GOOGL, HAS, HPE, HSY, JBL, MA, PEP, PRU, PSA, PWR, RL"
sbert,2023,4,26,0.409,"ADI, AIG, AMCR, AMT, AON, BRK-B, CAG, CF, CINF, CLX, DECK, DG, DOC, DOW, DRI, GE, HST, KLAC, MDLZ, PFG, PKG, STE, SYF, VICI, VRSK, VST"
tfidf,2019,8,8,1.0,"BKNG, CCL, EXPE, MAR, NCLH, RCL, RSG, WM"
tfidf,2019,20,9,1.0,"CL, CLX, ETN, HUBB, ITW, KMB, PPG, SHW, SWK"
tfidf,2019,7,15,0.949,"AMP, ARES, BEN, BX, CBOE, CME, IBKR, ICE, IVZ, KKR, MSCI, NDAQ, PRU, SPGI, TROW"
tfidf,2019,12,9,0.936,"APTV, CAT, CMI, CVNA, DE, F, GM, PCAR, URI"
tfidf,2019,13,9,0.923,"CI, CNC, COR, CVS, ELV, HCA, HUM, UHS, UNH"
tfidf,2019,16,10,0.838,"BA, GD, HII, LDOS, LMT, NOC, PH, RTX, TDG, TXT"
tfidf,2019,3,11,0.827,"CVX, EOG, EQT, EXE, FANG, HAL, MPC, OKE, SLB, TRGP, XOM"
tfidf,2019,21,11,0.796,"ADM, CAG, CPB, GIS, HRL, HSY, KHC, KR, MKC, SJM, SYY"
