ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,best_theme,best_score
GE,2023,0.0017534395096154769,0.0011037672902546017,0.027243251177728085,0.03272557588788412,0.03731350891441383,0.0401770272009199,0.05289427482502386,0.1020798692511142,0.049687816737827115,0.027538008520278504,0.031225551177082037,0.023815981112778405,0.03924861252865688,0.05840625316115944,0.043616051399648866,theme_7,0.1020798692511142
GEHC,2023,0.0022006657460780146,0.0013929600993903054,0.03644458996520157,0.03536400593823666,0.043533827546222814,0.059842377238327686,0.029706218223888452,0.03661289986415601,0.07301968155446084,0.0700518057446432,0.059761595148166806,0.08223539932324016,0.05267054694655973,0.04131805126321891,0.052540143202073335,theme_11,0.08223539932324016
GEN,2023,0.001971072000319753,0.0012547148897210617,0.03215446314242713,0.03741392913985586,0.037235615222697555,0.05459311793682936,0.02308618760946092,0.027455463486421552,0.040717770364628904,0.10681201092942504,0.05282785147700221,0.33475738952065487,0.05115159367526469,0.03199229187377429,0.0523658191385231,theme_11,0.33475738952065487
GILD,2023,0.0022980550601489455,0.0014631861449324168,0.04244028592122153,0.18525670364334978,0.04228766740400493,0.05996114826181553,0.03699305272860838,0.047236391219482636,0.04923872434061475,0.04936346960117003,0.03966478686440641,0.03971277340342543,0.05484317885775855,0.0587085199669659,0.060297345324306674,theme_3,0.18525670364334978
GIS,2023,1.839513002976884e-309,1.189154622726043e-309,1.0,3.632578344626209e-308,2.848232437404542e-308,3.4178798198054556e-308,3.081178402977911e-308,3.548763807035926e-308,2.6875373930279997e-308,3.527985316593877e-308,3.7783603809659868e-308,2.7921727405312527e-308,2.73529637977117e-308,2.3823575690208193e-308,2.4276303983610514e-308,theme_2,1.0
GL,2023,0.001414361079022565,0.0008933467932651606,0.028120527571388297,0.02858751900123933,0.03714134846735817,0.05383670218080077,0.04565660371314799,0.09638000928334288,0.038795724986002644,0.026728474658405037,0.04060023716074745,0.023787459408008103,0.029212783866203133,0.033215138459531036,0.030144652753143316,theme_7,0.09638000928334288
GLW,2023,0.00275961243161651,0.0017563774290475726,0.05576224232733588,0.048063205912438796,0.05885604275112444,0.07245244554835135,0.041612407225439844,0.04883480652797254,0.0532339854378897,0.12689688606924468,0.15158288550299506,0.1192567968534262,0.05307448431741906,0.04364592663508155,0.055094088868825,theme_10,0.15158288550299506
GM,2023,0.0008189155903030118,0.0005192364562200336,0.021335608874158328,0.01703508989870951,0.025182688781571552,0.03830396875425224,0.019125779573620334,0.027899046999777768,0.022388869261510926,0.023176366621254888,0.05915853084873542,0.0229352098285678,0.01971630981635659,0.017671680051729637,0.018432318333216416,theme_10,0.05915853084873542
GNRC,2023,0.0017442796021560642,0.0011071089807572888,0.02837938310358677,0.033748250548567484,0.04358669805345566,0.04375788624919435,0.025490685736208014,0.03169285113233409,0.10031303796303556,0.05328851961901241,0.032522763392568405,0.043609136137613816,0.23676300972450293,0.07274106256422305,0.1332515961647529,theme_12,0.23676300972450293
GOOG,2023,0.002139305790628835,0.0013625147728788557,0.03137221341891013,0.03384951993787982,0.037183049293382064,0.04906396524414775,0.02298269749502517,0.0267656704919807,0.03925167493381442,0.08914356093759992,0.05433654628008759,0.319495908137647,0.04407255629187517,0.030220656389270288,0.04800356772207525,theme_11,0.319495908137647
GOOGL,2023,0.0021557819748374337,0.0013725683679813167,0.03188981531554521,0.03433958861235816,0.03841400494477828,0.05081285505278083,0.02344243263837364,0.02739209514080556,0.04050046197976343,0.09060196297750489,0.05582616251709529,0.31242839235331826,0.045146858610030954,0.030956099262620416,0.049489905293704416,theme_11,0.31242839235331826
