ticker,year,cik,accession,filing_date,doc_url
AMZN,2023,0001018724,0001018724-24-000008,2024-02-02,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm
ANET,2019,0001596532,0001596532-20-000024,2020-02-14,https://www.sec.gov/Archives/edgar/data/1596532/000159653220000024/anet20191231-10k.htm
ANET,2021,0001596532,0001596532-22-000026,2022-02-15,https://www.sec.gov/Archives/edgar/data/1596532/000159653222000026/anet-20211231.htm
ANET,2023,0001596532,0001596532-24-000043,2024-02-13,https://www.sec.gov/Archives/edgar/data/1596532/000159653224000043/anet-20231231.htm
AON,2019,0000315293,0001628280-20-001607,2020-02-14,https://www.sec.gov/Archives/edgar/data/315293/000162828020001607/aonplc201910-k.htm
AON,2021,0000315293,0001628280-22-003180,2022-02-18,https://www.sec.gov/Archives/edgar/data/315293/000162828022003180/aon-20211231.htm
AON,2023,0000315293,0001628280-24-005392,2024-02-16,https://www.sec.gov/Archives/edgar/data/315293/000162828024005392/aon-20231231.htm
AOS,2019,0000091142,0001193125-20-046736,2020-02-24,https://www.sec.gov/Archives/edgar/data/91142/000119312520046736/d846284d10k.htm
AOS,2021,0000091142,0000091142-22-000028,2022-02-11,https://www.sec.gov/Archives/edgar/data/91142/000009114222000028/aos-20211231.htm
AOS,2023,0000091142,0000091142-24-000041,2024-02-13,https://www.sec.gov/Archives/edgar/data/91142/000009114224000041/aos-20231231.htm
APA,2021,0001841666,0001784031-22-000009,2022-02-22,https://www.sec.gov/Archives/edgar/data/1841666/000178403122000009/apa-20211231.htm
APA,2023,0001841666,0001784031-24-000003,2024-02-22,https://www.sec.gov/Archives/edgar/data/1841666/000178403124000003/apa-20231231.htm
APD,2019,0000002969,0000002969-20-000049,2020-11-19,https://www.sec.gov/Archives/edgar/data/2969/000000296920000049/apd-20200930.htm
APD,2021,0000002969,0000002969-22-000054,2022-11-22,https://www.sec.gov/Archives/edgar/data/2969/000000296922000054/apd-20220930.htm
APD,2023,0000002969,0000002969-24-000056,2024-11-21,https://www.sec.gov/Archives/edgar/data/2969/000000296924000056/apd-20240930.htm
APH,2019,0000820313,0001558370-20-000728,2020-02-12,https://www.sec.gov/Archives/edgar/data/820313/000155837020000728/aph-20191231x10k7e830b.htm
APH,2021,0000820313,0001558370-22-000961,2022-02-09,https://www.sec.gov/Archives/edgar/data/820313/000155837022000961/aph-20211231x10k.htm
APH,2023,0000820313,0001558370-24-000866,2024-02-07,https://www.sec.gov/Archives/edgar/data/820313/000155837024000866/aph-20231231x10k.htm
APO,2023,0001858681,0001858681-24-000031,2024-02-27,https://www.sec.gov/Archives/edgar/data/1858681/000185868124000031/apo-20231231.htm
APP,2021,0001751008,0001751008-22-000005,2022-03-11,https://www.sec.gov/Archives/edgar/data/1751008/000175100822000005/app-20211231.htm
APP,2023,0001751008,0001751008-24-000012,2024-02-26,https://www.sec.gov/Archives/edgar/data/1751008/000175100824000012/app-20231231.htm
APTV,2019,0001521332,0001521332-20-000012,2020-02-03,https://www.sec.gov/Archives/edgar/data/1521332/000152133220000012/aptv1231201910-k.htm
APTV,2021,0001521332,0001521332-22-000010,2022-02-07,https://www.sec.gov/Archives/edgar/data/1521332/000152133222000010/aptv-20211231.htm
APTV,2023,0001521332,0001521332-24-000011,2024-02-06,https://www.sec.gov/Archives/edgar/data/1521332/000152133224000011/aptv-20231231.htm
ARE,2019,0001035443,0001035443-20-000042,2020-02-04,https://www.sec.gov/Archives/edgar/data/1035443/000103544320000042/a4q1910-k.htm
ARE,2021,0001035443,0001035443-22-000040,2022-01-31,https://www.sec.gov/Archives/edgar/data/1035443/000103544322000040/are-20211231.htm
ARE,2023,0001035443,0001035443-24-000072,2024-01-29,https://www.sec.gov/Archives/edgar/data/1035443/000103544324000072/are-20231231.htm
ARES,2019,0001176948,0001628280-20-002489,2020-02-28,https://www.sec.gov/Archives/edgar/data/1176948/000162828020002489/ares-20191231.htm
ARES,2021,0001176948,0001628280-22-004289,2022-02-28,https://www.sec.gov/Archives/edgar/data/1176948/000162828022004289/ares-20211231.htm
ARES,2023,0001176948,0001628280-24-007014,2024-02-27,https://www.sec.gov/Archives/edgar/data/1176948/000162828024007014/ares-20231231.htm
ATO,2019,0000731802,0000731802-20-000040,2020-11-13,https://www.sec.gov/Archives/edgar/data/731802/000073180220000040/ato202093010-k.htm
ATO,2021,0000731802,0000731802-22-000037,2022-11-14,https://www.sec.gov/Archives/edgar/data/731802/000073180222000037/ato-20220930.htm
ATO,2023,0000731802,0000731802-24-000030,2024-11-18,https://www.sec.gov/Archives/edgar/data/731802/000073180224000030/ato-20240930.htm
AVB,2019,0000915912,0000915912-20-000004,2020-02-21,https://www.sec.gov/Archives/edgar/data/915912/000091591220000004/a201910-k.htm
AVB,2021,0000915912,0000915912-22-000005,2022-02-25,https://www.sec.gov/Archives/edgar/data/915912/000091591222000005/avb-20211231.htm
AVB,2023,0000915912,0000915912-24-000004,2024-02-23,https://www.sec.gov/Archives/edgar/data/915912/000091591224000004/avb-20231231.htm
AVGO,2019,0001730168,0001730168-20-000226,2020-12-18,https://www.sec.gov/Archives/edgar/data/1730168/000173016820000226/avgo-20201101.htm
AVGO,2021,0001730168,0001730168-22-000118,2022-12-16,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000118/avgo-20221030.htm
AVGO,2023,0001730168,0001730168-24-000139,2024-12-20,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/avgo-20241103.htm
AVY,2019,0000008818,0001104659-20-025360,2020-02-26,https://www.sec.gov/Archives/edgar/data/8818/000110465920025360/avy-20191228x10k9cf60b.htm
AVY,2021,0000008818,0001193125-22-049910,2022-02-23,https://www.sec.gov/Archives/edgar/data/8818/000119312522049910/d179463d10k.htm
AVY,2023,0000008818,0000008818-24-000003,2024-02-21,https://www.sec.gov/Archives/edgar/data/8818/000000881824000003/avy-20231230.htm
AWK,2019,0001410636,0001410636-20-000040,2020-02-18,https://www.sec.gov/Archives/edgar/data/1410636/000141063620000040/a12312019-awkx10kdocum.htm
AWK,2021,0001410636,0001410636-22-000048,2022-02-16,https://www.sec.gov/Archives/edgar/data/1410636/000141063622000048/awk-20211231.htm
AWK,2023,0001410636,0001410636-24-000050,2024-02-14,https://www.sec.gov/Archives/edgar/data/1410636/000141063624000050/awk-20231231.htm
AXON,2019,0001069183,0001069183-20-000016,2020-02-28,https://www.sec.gov/Archives/edgar/data/1069183/000106918320000016/a10kaaxn123119.htm
AXON,2021,0001069183,0001558370-22-002006,2022-02-25,https://www.sec.gov/Archives/edgar/data/1069183/000155837022002006/axon-20211231x10k.htm
AXON,2023,0001069183,0001069183-24-000006,2024-02-27,https://www.sec.gov/Archives/edgar/data/1069183/000106918324000006/axon-20231231x10k.htm
AXP,2019,0000004962,0000004962-20-000030,2020-02-13,https://www.sec.gov/Archives/edgar/data/4962/000000496220000030/axp-20191231.htm
AXP,2021,0000004962,0000004962-22-000008,2022-02-11,https://www.sec.gov/Archives/edgar/data/4962/000000496222000008/axp-20211231.htm
AXP,2023,0000004962,0000004962-24-000013,2024-02-09,https://www.sec.gov/Archives/edgar/data/4962/000000496224000013/axp-20231231.htm
AZO,2019,0000866787,0001558370-20-011748,2020-10-26,https://www.sec.gov/Archives/edgar/data/866787/000155837020011748/azo-20200829x10k.htm
AZO,2021,0000866787,0001558370-22-015239,2022-10-24,https://www.sec.gov/Archives/edgar/data/866787/000155837022015239/azo-20220827x10k.htm
AZO,2023,0000866787,0001558370-24-013758,2024-10-28,https://www.sec.gov/Archives/edgar/data/866787/000155837024013758/azo-20240831x10k.htm
BA,2019,0000012927,0000012927-20-000014,2020-01-31,https://www.sec.gov/Archives/edgar/data/12927/000001292720000014/a201912dec3110k.htm
BA,2021,0000012927,0000012927-22-000010,2022-01-31,https://www.sec.gov/Archives/edgar/data/12927/000001292722000010/ba-20211231.htm
BA,2023,0000012927,0000012927-24-000010,2024-01-31,https://www.sec.gov/Archives/edgar/data/12927/000001292724000010/ba-20231231.htm
